participant,lureCaseNum,lureType,evidenceUsedResponse.response,confidenceLevel.response,condition,confidence,caseStrength,verdict,realRate,caseType
138839,20.0,evidence4,Yes,Moderately Confident,0,5,34.0,0.0,67.0,exculp
138839,20.0,criticalExculp,No,Very Confident,0,1,34.0,0.0,67.0,exculp
138839,20.0,criticalInculp,No,Very Confident,0,1,34.0,0.0,67.0,exculp
138839,20.0,minorInculp,No,Very Confident,0,1,34.0,0.0,67.0,exculp
138839,20.0,minorExculp,No,Very Confident,0,1,34.0,0.0,67.0,exculp
138839,20.0,evidence2,Yes,Very Confident,0,6,34.0,0.0,67.0,exculp
138839,20.0,evidence3,No,Not Confident,0,3,34.0,0.0,67.0,exculp
138839,20.0,evidence1,Yes,Very Confident,0,6,34.0,0.0,67.0,exculp
138839,6.0,evidence3,Yes,Very Confident,0,6,62.0,1.0,81.0,inculp
138839,6.0,criticalExculp,No,Moderately Confident,0,2,62.0,1.0,81.0,inculp
138839,6.0,evidence1,Yes,Very Confident,0,6,62.0,1.0,81.0,inculp
138839,6.0,minorExculp,No,Very Confident,0,1,62.0,1.0,81.0,inculp
138839,6.0,criticalInculp,No,Very Confident,0,1,62.0,1.0,81.0,inculp
138839,6.0,evidence4,Yes,Very Confident,0,6,62.0,1.0,81.0,inculp
138839,6.0,minorInculp,No,Not Confident,0,3,62.0,1.0,81.0,inculp
138839,6.0,evidence2,Yes,Very Confident,0,6,62.0,1.0,81.0,inculp
138839,19.0,evidence4,Yes,Very Confident,0,6,44.0,0.0,72.0,exculp
138839,19.0,minorInculp,No,Very Confident,0,1,44.0,0.0,72.0,exculp
138839,19.0,evidence1,Yes,Very Confident,0,6,44.0,0.0,72.0,exculp
138839,19.0,criticalExculp,No,Moderately Confident,0,2,44.0,0.0,72.0,exculp
138839,19.0,criticalInculp,No,Very Confident,0,1,44.0,0.0,72.0,exculp
138839,19.0,minorExculp,No,Very Confident,0,1,44.0,0.0,72.0,exculp
138839,19.0,evidence2,Yes,Moderately Confident,0,5,44.0,0.0,72.0,exculp
138839,19.0,evidence3,Yes,Very Confident,0,6,44.0,0.0,72.0,exculp
138839,14.0,evidence1,Yes,Very Confident,0,6,28.0,0.0,80.0,ambig
138839,14.0,minorInculp,No,Very Confident,0,1,28.0,0.0,80.0,ambig
138839,14.0,evidence4,Yes,Very Confident,0,6,28.0,0.0,80.0,ambig
138839,14.0,evidence2,Yes,Not Confident,0,4,28.0,0.0,80.0,ambig
138839,14.0,minorExculp,No,Moderately Confident,0,2,28.0,0.0,80.0,ambig
138839,14.0,criticalInculp,No,Very Confident,0,1,28.0,0.0,80.0,ambig
138839,14.0,criticalExculp,No,Very Confident,0,1,28.0,0.0,80.0,ambig
138839,14.0,evidence3,Yes,Very Confident,0,6,28.0,0.0,80.0,ambig
138839,18.0,evidence2,Yes,Very Confident,0,6,71.0,1.0,80.0,inculp
138839,18.0,evidence1,Yes,Very Confident,0,6,71.0,1.0,80.0,inculp
138839,18.0,criticalExculp,No,Very Confident,0,1,71.0,1.0,80.0,inculp
138839,18.0,minorExculp,No,Very Confident,0,1,71.0,1.0,80.0,inculp
138839,18.0,evidence4,Yes,Very Confident,0,6,71.0,1.0,80.0,inculp
138839,18.0,evidence3,Yes,Very Confident,0,6,71.0,1.0,80.0,inculp
138839,18.0,minorInculp,No,Very Confident,0,1,71.0,1.0,80.0,inculp
138839,18.0,criticalInculp,No,Very Confident,0,1,71.0,1.0,80.0,inculp
138839,28.0,evidence2,Yes,Very Confident,0,6,67.0,1.0,74.0,inculp
138839,28.0,evidence4,Yes,Very Confident,0,6,67.0,1.0,74.0,inculp
138839,28.0,criticalExculp,No,Very Confident,0,1,67.0,1.0,74.0,inculp
138839,28.0,criticalInculp,No,Very Confident,0,1,67.0,1.0,74.0,inculp
138839,28.0,evidence1,Yes,Very Confident,0,6,67.0,1.0,74.0,inculp
138839,28.0,minorInculp,No,Very Confident,0,1,67.0,1.0,74.0,inculp
138839,28.0,minorExculp,No,Very Confident,0,1,67.0,1.0,74.0,inculp
138839,28.0,evidence3,Yes,Very Confident,0,6,67.0,1.0,74.0,inculp
138839,24.0,evidence1,Yes,Very Confident,0,6,43.0,0.0,74.0,exculp
138839,24.0,evidence2,Yes,Very Confident,0,6,43.0,0.0,74.0,exculp
138839,24.0,minorExculp,No,Very Confident,0,1,43.0,0.0,74.0,exculp
138839,24.0,evidence4,Yes,Very Confident,0,6,43.0,0.0,74.0,exculp
138839,24.0,minorInculp,No,Very Confident,0,1,43.0,0.0,74.0,exculp
138839,24.0,evidence3,Yes,Very Confident,0,6,43.0,0.0,74.0,exculp
138839,24.0,criticalInculp,No,Very Confident,0,1,43.0,0.0,74.0,exculp
138839,24.0,criticalExculp,No,Very Confident,0,1,43.0,0.0,74.0,exculp
138839,22.0,criticalInculp,No,Very Confident,0,1,30.0,0.0,51.0,ambig
138839,22.0,minorExculp,Yes,Moderately Confident,0,5,30.0,0.0,51.0,ambig
138839,22.0,evidence2,Yes,Very Confident,0,6,30.0,0.0,51.0,ambig
138839,22.0,minorInculp,No,Not Confident,0,3,30.0,0.0,51.0,ambig
138839,22.0,criticalExculp,No,Very Confident,0,1,30.0,0.0,51.0,ambig
138839,22.0,evidence4,Yes,Very Confident,0,6,30.0,0.0,51.0,ambig
138839,22.0,evidence1,Yes,Very Confident,0,6,30.0,0.0,51.0,ambig
138839,22.0,evidence3,Yes,Very Confident,0,6,30.0,0.0,51.0,ambig
138839,2.0,evidence3,Yes,Very Confident,0,6,35.0,0.0,81.0,ambig
138839,2.0,minorInculp,No,Very Confident,0,1,35.0,0.0,81.0,ambig
138839,2.0,evidence1,Yes,Very Confident,0,6,35.0,0.0,81.0,ambig
138839,2.0,minorExculp,No,Moderately Confident,0,2,35.0,0.0,81.0,ambig
138839,2.0,criticalExculp,No,Very Confident,0,1,35.0,0.0,81.0,ambig
138839,2.0,evidence2,Yes,Very Confident,0,6,35.0,0.0,81.0,ambig
138839,2.0,evidence4,Yes,Very Confident,0,6,35.0,0.0,81.0,ambig
138839,2.0,criticalInculp,No,Moderately Confident,0,2,35.0,0.0,81.0,ambig
138839,30.0,evidence3,No,Moderately Confident,0,2,22.0,0.0,59.0,ambig
138839,30.0,evidence4,Yes,Very Confident,0,6,22.0,0.0,59.0,ambig
