participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
1,22,70,ambiguous,clear_in,clear_ex,clear_ex,Not Guilty,Digital Expert testified about camera footage showing Ms. Garcia leaving the hospital with a baby. 2. Nurse testified that Ms. Garcia was on a different floor of the hospital when the alarm went off signaling a baby had been taken. 3. A community leader testified that Ms. Garcia was a very truthful person. 4. Ms. Garcia's DNA matched DNA that was found in the bathroom near the emergency room doors.,183.9380733,,,59.95901203,,1,,16,292.5396284,276.2894221,,,,,,,,,,,,,322.5396008,467.5252638,322.5232184,0,0,0,6,,,,,,,,,,,,,,,E,0.0422934,0.042245,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-05_16h25.19.583,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,10.6995288,10.6995339,TRUE,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,0.0854978,0.0854342,322.5232106,292.5396369,518.1451228,467.5253944,276.2894105,183.8927317,183.8881544,159.7214311,159.7214236,133.9228819,133.9059338,123.1998818
1,6,81,clear_in,clear_in,clear_ex,clear_in,Guilty,"1. Target recipt was found in the defendant's apartment which was dated to the time of the theft and it stated the items were bought were peanut butter, choclate milk, and raisin bread. 2. Cashier testified that the defendant didn't buy those things. 3. Fingerprints from the defendant were found on the torn packaging in the changing room. 4. One of the defendant's employers wrote that the defendant was prone to theft.",518.1920028,,,59.95901203,,,,87,594.893419,588.9931256,,,,,,,,,,,,,624.8934762,779.3959163,624.8767616,1,0,1,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-05_16h25.19.583,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,624.8767544,594.8934278,790.9814746,779.3960043,588.993114,518.145383,,,,,,
1,30,32,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,1. Someone knocked over during the crime claimed that the person driving the car could have been the defendant but it could have been someone else. 2. Expert testified saying the palm print on the suv matched the defendant. 3. Defendant had selfies from a wine bar about 2 miles away from the crime. 4. Defendant had been charged five years ago with a crime of threatening construction workers at a construction site near his neighborhood.,791.0124022,,,59.95901203,,,,17,874.0639963,870.5471761,,,,,,,,,,,,,904.0638049,1045.432926,904.0470669,2,0,2,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-05_16h25.19.583,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,904.0470593,874.0640052,1056.901983,1045.433001,870.5471501,790.9816696,,,,,,
1,18,82,clear_in,clear_ex,clear_in,clear_in,Guilty,1. A woman testified saying that she saw Mr. Johnson handing an envelope to a driver of a 16 passenger van. 2. DNA evidence on a soda can at the highway rest stop match Mr. Johnson. 3. No evidence was present on Mr. Johnsons phone and computer that he was communicating with Mexico. 4. Mr. Johnson had a prior charge of forgering documents.,1056.948801,,,59.95901203,,,,62,1152.050618,1150.300502,,,,,,,,,,,,,1182.050601,1317.169261,1182.033964,3,0,3,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-05_16h25.19.583,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1182.033956,1152.050628,1334.971559,1317.169358,1150.300489,1056.902181,,,,,,
1,2,18,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,1. Fingerprints found on the scissors were shown to not say it was definetely Mrs. Armstrong but they didn't rule her out. 2. Video evidence showed Mrs. Armstrong leaving the changing room and putting the dress back on the rack. 3. Minister said that Mrs. Armstrong was very truthful. 4. A witness testified that she saw Mrs Armstrong enter the changing room with the purse but didn't see her leave with it.,1335.002609,,,59.95901203,,,,17,1420.936827,1419.520159,,,,,,,,,,,,,1450.937574,1611.606292,1450.921126,4,0,4,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-05_16h25.19.583,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1450.921117,1420.936835,1624.392014,1611.606384,1419.520143,1334.971767,,,,,,
1,19,37,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"1. Neighbor testified that Mr. Anderson had a reputation of being a non-violent person. 2. Bullet markings did not match Mr. Anderson's only gun. 3. 911 recorded a call from Mr. Anderson's phone saying ""If you don't do something about this party I will."" 4. Woman at the party testified that the shot came from the house across the street from Mr. Anderson. ",1624.422534,,,59.95901203,,,,17,1702.007239,1701.173908,,,,,,,,,,,,,1732.007209,1842.125725,1731.990904,5,0,5,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,???,2026-03-05_16h25.19.583,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,1731.990897,1702.007247,1852.544431,1842.125948,1701.173896,1624.392211,,,,,,
1,14,72,clear_ex,ambiguous,clear_in,clear_in,Not Guilty,"1. A zoning official testified saying that she saw Mr. Jackson giving an envelope very similar to the bribe envelope to a zoning official just before the vote. 2. Mr. Jackson sold his large sailboat for about $43,000 three weeks before the vote took place. 3. The DNA on the envelope matches someone other than Mr. Jackson. 4. Mr. Jackson has a previous charge for not paying his taxes.",1852.575392,,,59.95901203,,,,59,1956.893382,1956.510111,,,,,,,,,,,,,1986.893744,2168.680231,1986.877048,6,0,6,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,????,2026-03-05_16h25.19.583,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1986.877041,1956.89339,2198.298974,2168.680321,1956.5101,1852.544634,,,,,,
1,24,60,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,1. Insurance agent saw people in the fake company's office but never the defendant. 2. Employer to the defendant said she was an honest person. 3. The defendant's computer showed records from two legit companies but nothing from the fake company. 4. The defendant's fingerprint was found on the collection papers.,2198.329873,,,59.95901203,,,,10,2285.880876,2285.530813,,,,,,,,,,,,,2315.881178,2446.933685,2315.864514,7,0,7,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-05_16h25.19.583,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,2315.864506,2285.880883,2453.419082,2446.933771,2285.530802,2198.299197,,,,,,
1,20,69,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,1. Customer in the store said that she remembered Ms. Clarke not ringing up all the items that the previous customer had. 2. The video footage of the store shows no evidence of Ms. Clarke bagging items without ringing it up. 3. Expert testified that of all the items stolen none had Ms. Clarke's fingerprints. 4. Priest says Ms. Clarke was a very honest person in the religious community.,2453.449414,,,59.95901203,,,,9,2524.517136,2523.600422,,,,,,,,,,,,,2554.517496,2687.402805,2554.500574,8,0,8,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-03-05_16h25.19.583,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,2554.500567,2524.517144,2694.855335,2687.402888,2523.60041,2453.419292,,,,,
1,28,28,clear_ex,clear_in,clear_in,clear_in,Guilty,1. No fingerprints from the defendant were found on the scene of the crime. 2. Someone in the neighbor testified that she saw the defendant carrying a gasoline can near the house that was going to be burned down. 3. Recipt was found in the defendant's apartment stating a five gallon gas can was bought which was the same one found on the crime scene. 4. Defendant's employer said he was not a law abiding citizen.,2694.885785,,,59.95901203,,,,83,2747.952995,2747.619808,,,,,,,,,,,,,2777.953382,2920.705738,2777.936844,9,0,9,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-03-05_16h25.19.583,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,2777.936837,2747.953002,2927.091398,2920.705831,2747.619797,2694.855528,,,,,,
