participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,,,,
2,19,100,clear_ex,clear_in,clear_ex,clear_ex,Guilty,"-he called 911 and said a phrase similar to if you dont do something about this party i will 
- bullet hit beer bottle spreading glass and injuring 2 people ""
- his neighbor said suspect is non-violent"" 
- bullets did not batch the ones in suspects only gun he posseses",141.8868982,,,60.0343877,,1,,80,187.0380365,170.0042022,,,,,,,,,,,,,217.0379946,352.0567723,217.0216036,0,0,0,4,,,,,,,,,,,,,,,E,0.0460836,0.0460309,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,???,2026-03-11_15h21.49.492,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,7.0034364,7.0034404,TRUE,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",0.0930457,0.092983,217.0215979,187.0380452,378.9091824,352.0569012,170.0041906,141.8419384,141.8371519,119.8867039,119.8866963,112.8721159,112.8540472,105.8500431,,,,
2,30,64,clear_in,clear_ex,ambiguous,clear_in,Guilty,"- eyewittness is unreliable as they can recall face fully 
- palm print matched one on the door
- killed 3 pedistrians 
- drove on sidewalk for a mile in a rented suv ",378.9399066,,,60.0343877,,,,93,431.7909123,425.4572848,,,,,,,,,,,,,461.7911508,536.0093359,461.7746882,1,0,1,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-11_15h21.49.492,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,461.7746802,431.7909212,556.0446531,536.009416,425.4572734,378.9094348,,,,,,,,,,
2,6,100,clear_in,clear_in,clear_ex,clear_in,Not Guilty,"-suspect stole a hat and a jacket
- she had matching recipt in her possession

- she does not match description according to cashier
- accused of puting clothing on in a changing room and walking out wiith it",556.0755101,,,60.0343877,,,,77,626.476784,621.0431737,,,,,,,,,,,,,656.476824,742.2790094,656.4602196,2,0,2,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-11_15h21.49.492,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,656.4602096,626.4767974,770.3813042,742.2790979,621.0431619,556.0448486,,,,,,,,,,
2,28,78,clear_ex,clear_in,clear_in,clear_in,Not Guilty,"-none of his prints matched 
-homeless man killed in the fire 
- fire started on march 11 at 1 am 
-he had a recipt in his possession for a 5 gallon tank of gas ",770.4117512,,,60.0343877,,,,61,850.5129114,817.4625722,,,,,,,,,,,,,880.5131876,951.0642758,880.4965496,3,0,3,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-03-11_15h21.49.492,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,880.4965424,850.5129199,996.06768,951.0643495,817.4625607,770.3814955,,,,,,,,,,
2,24,100,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"-her fingerprint is on a collections notice
-she keeps meticulous records with no evidence of this company

- she already owns two buisnesses
-her employer sais she is an honest worker",996.0975632,,,60.0343877,,,,20,1068.915776,1067.148907,,,,,,,,,,,,,1098.915539,1163.633926,1098.899387,4,0,4,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-11_15h21.49.492,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1098.899379,1068.915785,1173.752468,1163.634017,1067.148897,996.0679049,,,,,,,,,,
2,20,100,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"-her prints were not on any of the accused merchandise
-security cam did not clearly see her free bagging
- customer in line said that she did free bag
- her priest said she is an honest person at church",1173.784148,,,60.0343877,,,,8,1266.618329,1248.517687,,,,,,,,,,,,,1296.618372,1361.386716,1296.601958,5,0,5,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-03-11_15h21.49.492,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,1296.60195,1266.61834,1376.405112,1361.386807,1248.517676,1173.752661,,,,,,,,,
2,18,98,clear_in,clear_ex,clear_in,clear_in,Guilty,"-there is no documents in hiss cell with evidence
-his dna was found on a soda can dropped at a rest stop

- a woman identified him as handing an envelope to a driver

                                                                                                                                                                                                                                                                he usecd top sell fake ids",1376.435662,,,60.0343877,,,,64,1461.17032,1459.753749,,,,,,,,,,,,,1491.170855,1567.422884,1491.154235,6,0,6,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-11_15h21.49.492,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1491.154227,1461.170328,1596.358047,1567.422967,1459.753737,1376.405309,,,,,,,,,,
2,22,35,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"-community leader says she is a truthful person
-she was seen by cameras leaving the hospital with a baby
                                                                                                                                                                                                                                                                her dna was found in the hospital bethroom
-nurse saw her visiting a different patient when baby was stolen",1596.388783,,,60.0343877,,,,82,1639.539722,1636.53958,,,,,,,,,,,,,1669.539453,1742.925261,1669.523108,7,0,7,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-11_15h21.49.492,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1669.523101,1639.53973,1754.893101,1742.925346,1636.539567,1596.358253,,,,,,,,,,
2,14,97,clear_ex,ambiguous,clear_in,clear_in,Guilty,"-he had just sold his sailboat for 43000 
-someone elses dna matched inside of envelope
- someone saw him gie envelope to zoner 

- previous;y convicetted of rnot paying his taxes
",1754.924002,,,60.0343877,,,,91,1800.342045,1796.591459,,,,,,,,,,,,,1830.341749,1911.043447,1830.32481,8,0,8,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,????,2026-03-11_15h21.49.492,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1830.324803,1800.342053,1930.512463,1911.043527,1796.591447,1754.893298,,,,,,,,,,
2,2,83,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"- someone she knows said she is truthful
-video of her going into fressing room with dressthen bringing it out and leaving it on rack
- employee heard scissors then she walked out of dressing room
-prints were inconclusive to identify her",1930.542842,,,60.0343877,,,,14,1988.693591,1987.393566,,,,,,,,,,,,,2018.693907,2106.212609,2018.677499,9,0,9,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-03-11 15h30.36.285780 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-11_15h21.49.492,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,2018.677492,1988.693599,2118.180884,2106.212702,1987.393554,1930.512661,,,,,,,,,,
