participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,,
50784,2,79,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"Her priest said she's always had a reputation for being truthful among other practitioners.
An investigator said that fingerprints found on scissors in the dressing room next to cut off security tags could not be said to match ot exclude Ms. Armstrong.
A women who works in the women's dress claims to have heard cutting in the dressing rooms and Ms.Armstrong come out of that dressing room.
Security footage from the store shows Ms.Armstrong going in with the dress, then coming out and putting it back on the rack.",383.0004401,,,239.7983784,,,1,,23,586.5460252,525.0605189,,,,,,,,,,,,,616.5550759,1007.186174,616.5428278,0,0,0,0,,,,,,,,,,,,,,,M3 ,0.0434737,0.0434302,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-09_14h29.14.219,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,30.0482264,30.0482326,TRUE,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",0.0608833,0.0608192,616.5428211,586.546035,1030.205521,1007.186314,525.0605064,382.9723514,382.9671945,313.7739271,313.773914,295.7659007,295.7482039,265.6933288,,
50784,6,72,clear_in,clear_in,clear_ex,clear_in,Guilty,"Torn packaging found in the dressing room carries Mrs. Mitchell's fingerprints.
Her past employer says that in his opinion, she was prone to theft.
A cashier testified that Mrs. Mitchell did not look like the women that bought peanut butter, chocolate milk, and raisin bread.
The police found a receipt in Mrs. Mitchell's appartment, timestamped at the time of the crime, showing she bought peanut butter, chocolate milk, and rasin bread.",1030.236671,,,239.7983784,,,,,63,1168.773553,1165.589438,,,,,,,,,,,,,1198.782023,1452.498386,1198.773593,1,0,1,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-09_14h29.14.219,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1198.773586,1168.773562,1474.568435,1452.498487,1165.589426,1030.205811,,,,,,,,
50784,28,51,clear_ex,clear_in,clear_in,clear_in,Guilty,"Mr. Farooqui's past employer said that in his opinion, Mr. Farooqui is not a law-abiding citizen.
A receipt showed that Mr.Farooqui bought a five-gallon gas can of the same type found in the fire's debris.
A women claims she saw someone she later identified as Mr. Farooqui with a gas can near the building shortly before the fire.
Investigators said that no fingerprints were found that match Mr. Farooqui.",1474.59527,,,239.7983784,,,,,75,1568.288668,1568.030764,,,,,,,,,,,,,1598.297549,1819.072532,1598.285044,2,0,2,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-09_14h29.14.219,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1598.285037,1568.288677,1837.545196,1819.072642,1568.030753,1474.568637,,,,,,,,
50784,14,65,clear_ex,ambiguous,clear_in,clear_in,Not Guilty,"Bank records and a deed of sale show Mr. Jackson sold his 34-foot sailboat three weeks before the zoning vote.
A women said she saw someone shw later identified as Mr. Jackson give an envelope that was the same type as the bribe envelope to the zoning official before the vote.
Past records show Mr.Jackson failed to pay his taxes.
Marks found under the flap of the bribe envelope match someone other than Mr. Jackson.",1837.57177,,,239.7983784,,,,,46,1945.662391,1945.370414,,,,,,,,,,,,,1975.67136,2256.004705,1975.662625,3,0,3,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-09_14h29.14.219,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1975.662618,1945.662399,2266.677728,2256.00479,1945.370401,1837.545394,,,,,,,,
50784,20,70,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"A store customer remembers Ms. Clarke bagging items for the person in front of her and suspects not all the items were rung up.
The stores security footage show no obvious evidence of Ms. Clarke bagging an item without hitting the keypad first.
Ms. Clarke's priest says she has a reputation of being honest within the church community.
An expert testified that of the many finger prints found on the stole items, none were Ms. Clarke's.",2266.704931,,,239.7983784,,,,,32,2363.415261,2363.236185,,,,,,,,,,,,,2393.420036,2610.373371,2393.411778,4,0,4,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-09_14h29.14.219,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,2393.41177,2363.415269,2623.35902,2610.373449,2363.236172,2266.677926,,,,,,,
50784,19,76,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"A 911 call from Mr. Anderson's phone recorded someone saying to the operator, If you don't do something about the party I will.""
A women at the party claims she saw someone with a gun by an open window in a house across the street from Mr. Anderson.
A neighbor said that Mr. Anderson had a reputation for non-violence.
Marked bullets in the front yard didn't match ones test-fired from Mr. Andeson's only gun.""",2623.381544,,,239.7983784,,,,,21,2712.754994,2712.546512,,,,,,,,,,,,,2742.759642,2956.547875,2742.751419,5,0,5,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-09_14h29.14.219,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,2742.751411,2712.755003,2971.618809,2956.547955,2712.546502,2623.359216,,,,,,,,
50784,22,43,ambiguous,clear_in,clear_ex,clear_ex,Not Guilty,"A video evidence expert testified that hosptial security cameras show Mrs. Garcia leaving with a baby in her arms.
A nurses said she saw Mrs. Garcia visiting a patient on a different floor when the alert for nurses staff was sent about a baby being taken from the maternity floor.
A DNA sample matched DNA found in the bathroom of the hospital's emergancy room doors.
A prominant figure in the community claims that after knowing Mrs. Garcia for years, he's depicted her to be very truthful.",2971.641738,,,239.7983784,,,,,32,3095.195062,3095.049315,,,,,,,,,,,,,3125.20401,3406.488097,3125.19551,6,0,6,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-09_14h29.14.219,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,3125.195503,3095.19507,3420.061217,3406.488168,3095.049302,2971.619001,,,,,,,,
50784,30,43,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"A palm print found on the driver's side door matched Mr. Juval.
A selfie on Mr. Javal's phone showed he was at a wine bar two miles away when the SUV swerved onto the sidewalk.
Mr. Juval was convicted five years ago for threatening workers in a construction site.
A tourist who was knocked over by the fleeing driver said it looked like Mr. Juval, but it could've been someone else.",3420.083724,,,239.7983784,,,,,48,3521.740255,3521.52376,,,,,,,,,,,,,3551.749149,3732.885221,3551.740811,7,0,7,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-09_14h29.14.219,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,3551.740803,3521.740264,3746.679013,3732.885324,3521.523748,3420.061412,,,,,,,,
50784,24,62,clear_in,clear_ex,clear_ex,clear_ex,Guilty,"An insurance agent in the same building as the fake company said she saw many people in the fake companies office but never Ms. Franklin.
Ms. Franklin's computer showed meticulous records of two real businesses she owns, and personal budgets and taxs records, but nothing regarding the fake company.
Mr. Franklin received a collection notice for the fake company.
Ms. Franklin's employer said that in his opinion she is an honest person.",3746.701236,,,239.7983784,,,,,67,3850.162732,3850.013366,,,,,,,,,,,,,3880.171558,4091.997275,3880.16339,8,0,8,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-09_14h29.14.219,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,3880.163383,3850.162741,4101.360086,4091.997369,3850.01335,3746.679221,,,,,,,,
50784,18,80,clear_in,clear_ex,clear_in,clear_in,Guilty,"A women claimed she saw him at a rest area giving an evelope to a man with a full 16-seater van.
DNA matched from a soda can at a rest stop where a van holding immigrants drove off when a state trooper pulled up next to it.
He was convicted before for selling fake immigration documents.",4101.386784,,,239.7983784,,,,,88,4199.448274,4199.277425,,,,,,,,,,,,,4229.4529,4426.903041,4229.444532,9,0,9,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-09 14h29.41.778131 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-09_14h29.14.219,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,4229.444524,4199.448283,4438.632765,4426.903115,4199.277412,4101.360293,,,,,,,,
