participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,s,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
332976,24,81,clear_in,clear_ex,clear_ex,clear_ex,Guilty,"Ms. Franklins fingerprints were found on a paper linked to the fraud
Her computer showed logs for 2 legimate buisnesses, but none for the mortgage company
No one ever saw Ms. Franklin in the office
They say she is an honest person ",78.59698050000588,,,119.91184080643141,,,1,,65,127.23023620000458,115.43032949999906,,,,,,,,,,,,,157.2383317000058,259.3362632000062,157.22567270000582,0,0,0,7,,,,,,,,,,,,,,,C,0.0632607,0.0632153,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-23_12h56.51.250,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,4.027576699998463,4.027580399997532,TRUE,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",0.0840468,0.0839762,157.22566670000379,127.2302447000111,270.3466647000023,259.33639380001114,115.4303179999988,78.56869830000505,78.56379690000904,72.18331810001109,72.18331079999916,66.81827190000331,66.7997849,62.765796699997736
332976,19,64,clear_ex,clear_in,clear_ex,clear_ex,Guilty,"A neigbor testified that Mr. Andrson has a reputation for non violence 
Bullets from the scene did not match the bullets from the gun test fired at Mr. Andersons 

A woman saw someone with a gun at an open window at a house across the street from Mr. Andersons house 
They traced a call back to Mr. Andersons home phone saying, if you dont do something about this party I will"" """,270.3735888000083,,,119.91184080643141,,,,,71,311.677852,310.2043444,,,,,,,,,,,,,341.6776688,443.01131570000143,341.66935260000173,1,0,1,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-23_12h56.51.250,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,341.6693454000051,311.67785990000993,450.45515069999965,443.01139280000643,310.2043338000076,270.34691069999826,,,,,,
332976,22,67,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"A nurse testified seeing ms. garcia visiting another patient on a different floor when the alrm went off to notify that a baby was missing 

A high ranking member of the community described ms. garcia as a overall truthfull person 

A video expert idemtified that ms. garcia was found leaving the hospital with a baby in her arms 

Ms. garcias DNA was found on a bathroom door handle that was near the exit of the hospital ",450.4764653,,,119.91184080643141,,,,,73,496.0766009000072,484.2313312000042,,,,,,,,,,,,,526.0767326000059,651.9886726000113,526.0684595000057,2,0,2,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-23_12h56.51.250,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,526.0684507999977,496.0766091999976,657.8863483000023,651.9887582000083,484.2313203000085,450.45534490000864,,,,,,
332976,2,77,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"A store clerk heard scissors cutting a tag from a fittign room and identified that the woman who came out was Ms. Armstrong 
Surveilence shows Ms. armstrong going into the fitting room with the dress then hanging it back up and leaving the store
DNA found on the scissors left in the fitting room could neither confirm or exclude if it was Ms. armstrongs
Her minister said that she is described as a very thruthful person by her other parishioners",657.9131561000104,,,119.91184080643141,,,,,36,705.5937963000033,704.6807146000065,,,,,,,,,,,,,735.6020087,883.4540262000082,735.5898832000094,3,0,3,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-23_12h56.51.250,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,735.5898748000036,705.5938045000075,890.4519138000032,883.4541145000112,704.6807042,657.8865394000022,,,,,,
332976,18,90,clear_in,clear_ex,clear_in,clear_in,Guilty,"Mr. Johson had been previously convicted for selling false identification 
Mr. Johnsons phone had no calls, texts, or emails to Mexico 
A soda can was found at one of the rest stops near the border that had his DNA on it
A woman testified seeing MR. Johnson as the driver of a 16 passanger van near the border",890.4786711000052,,,119.91184080643141,,,,,86,929.2164877000032,928.9748593000113,,,,,,,,,,,,,959.2162576000119,1053.9908502000035,959.2079843000101,4,0,4,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-23_12h56.51.250,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,959.2079767000105,929.2164957000059,1057.705857000008,1053.990919200005,928.9748481999995,890.4520990000019,,,,,,
332976,14,69,clear_ex,ambiguous,clear_in,clear_in,Not Guilty,"Mr. Jackson sold his 34 foot sailboat for $43,000 3 weeks before 
Mr. Jackson had been previously convicted for failing to pay taxes
 A zoning clerk testifeid seeing Mr. jackson handing an envelope to someone that looked exactly like the fraudulent one 
DNA of someone else was found underneath the sealed envelope",1057.728531700006,,,119.91184080643141,,,,,37,1096.636576600009,1096.3657011000032,,,,,,,,,,,,,1126.646129300003,1239.694083800001,1126.6338825999992,5,0,5,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-23_12h56.51.250,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1126.6338748999988,1096.636584500011,1246.1919030999998,1239.694150100011,1096.3656906000106,1057.706046300009,,,,,,
332976,6,84,clear_in,clear_in,clear_ex,clear_in,Guilty,"Tags that had been removed and left in the fitting room had Ms. Mitchells DNA 
Police found a reciept at her apartment that was time stmaped and she had bought eggs, milk, raisin bread 
Cashier confirmed it was Ms. Mitchell who bought those items 
Her employer said Ms. Mitchell was prone to theft",1246.2144296000042,,,119.91184080643141,,,,,85,1271.8148019000073,1271.556534000003,,,,,,,,,,,,,1301.8240988000034,1387.2189229000069,1301.8119882000028,6,0,6,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-23_12h56.51.250,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1301.811980700004,1271.8148093000054,1390.1592324000085,1387.2189936000068,1271.5565222000005,1246.1920825999987,,,,,,
332976,20,60,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"Security footage cannot shpw her bagging items before hitting buttons on the screen 
A customer before says she saw Ms Clark bagging items without checking them out first 
Out of all the recovered items, none of them had Ms. Clarks DNA on them 
Her preiest said she is well known in the community for being honest",1390.1939133999986,,,119.91184080643141,,,,,27,1414.2904698000057,1414.1016530000052,,,,,,,,,,,,,1444.293058299998,1534.0384722000017,1444.284806399999,7,0,7,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-23_12h56.51.250,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,1444.2847970000003,1414.2904763999977,1539.573738799998,1534.0385674999998,1414.1016418000072,1390.1600660000113,,,,,
332976,30,45,clear_in,clear_ex,ambiguous,clear_in,Guilty,"Fingerprints were found on the car that matched Mr. Juvals DNA 
He had earlier been convicted for threatening cpnstrustion workers in his neighborhood 
A victim who was pushed down said it could have been MR. Juval but wasn't sure
Selfies were found on MR. Juvals phone at the time of the accident at a wine bar 2 miles away.",1539.5963525000116,,,119.91184080643141,,,,,49,1564.943858700004,1564.6984425000119,,,,,,,,,,,,,1594.9478144000022,1690.504175,1594.9354573000019,8,0,8,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-23_12h56.51.250,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,1594.9354501000053,1564.9438665000052,1695.8698187000118,1690.5042414000054,1564.6984328000108,1539.5739319999993,,,,,,
332976,28,73,clear_ex,clear_in,clear_in,clear_in,Guilty,"No fingerprints found at the scene match Mr. Farooquis DNA at the scene
A recipt was found at his place for a 5 gallon gas can, the same one used for the fire
Someone identified seeing him walking with the gas can shortly before the fire 
Old emploeyer said Mr. Farooquis was not a law abiding prson",1695.892179900009,,,119.91184080643141,,,,,85,1719.7099713000061,1719.4806862000114,,,,,,,,,,,,,1749.7126167000097,1859.9289681000082,1749.7043132000108,9,0,9,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-23_12h56.51.250,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1749.7043012000067,1719.7099796000111,1862.997196100012,1859.9290614000056,1719.480675400002,1695.8700141000008,,,,,,
