participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,,,,,,,,,,
582871,14,66,clear_ex,ambiguous,clear_in,clear_in,Guilty,"man secretely transporting money in an envalope behind the companies back long term scheme  tried his best to keep it hidden
",93.992438,,,240.046473,,,1,,69,131.5400194,123.7229905,,,,,,,,,,,,,161.5533374,216.6070643,161.5412141,0,0,0,2,,,,,,,,,,,,,,,F,0.0469005,0.0468557,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-14_09h50.51.049,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,3.4464452,3.44645,TRUE,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",0.0635823,0.0635192,161.5412067,131.5400275,232.751431,216.6071863,123.7229793,93.9682911,93.9633663,66.5880493,66.5880414,63.9051216,63.8868485,60.4334389,,,,,,,,,,
582871,6,55,clear_in,clear_in,clear_ex,clear_in,Guilty,"the lady ripped off the tags of the jacket and hat making sure looking arounbd her to make sure no one was looking, then she went to try on the jacket in the fitting rooms coming out wiuth it on without the worker seeing and then she went to fasrtly but sauddely buy the grocie istems, goes to checkout, pays for her things, then leaves, ",232.7780348,,,240.046473,,,,,65,264.4508956,254.4588263,,,,,,,,,,,,,294.4643647,383.9235019,294.4515728,1,0,1,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_09h50.51.049,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,294.4515637,264.4509048,394.7088925,383.9235814,254.4588159,232.7517326,,,,,,,,,,,,,,,,
582871,30,90,clear_in,clear_ex,ambiguous,clear_in,Guilty,"the defendant spent his evening at a bar drinking a lot of wine and then proceded tgo get in his car, using past anger and heigghtned emotions from being drunk he proceded to drive as fast as possble throught he crownb of people then ultimetley driving off aS try and not get caught
",394.7313464,,,240.046473,,,,,78,422.3164383,421.9002332,,,,,,,,,,,,,452.3210797,510.2131267,452.3128336,2,0,2,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_09h50.51.049,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,452.3128266,422.3164463,518.8455805,510.2131954,421.9002206,394.7090964,,,,,,,,,,,,,,,,
582871,2,84,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"mrs armstrong went into the store, picked out the dress to try on, simply wqent into the fitting room to try it on,came back out without the dress on and set it on the rack to giive back to the store",518.8762823,,,240.046473,,,,,3,570.048495,569.2817277,,,,,,,,,,,,,600.0529251,644.0712964,600.0448722,3,0,3,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-14_09h50.51.049,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,600.0448646,570.0485029,658.2427371,644.0713826,569.2817154,518.8457661,,,,,,,,,,,,,,,,
582871,28,86,clear_ex,clear_in,clear_in,clear_in,Guilty,"the defendent was walking past the building with a jug of gas in his hand as he saw the homelessman and proceded to spray the gas everywhere and light the building on fire
",658.2613711,,,240.046473,,,,,59,704.7511295,703.5758135,,,,,,,,,,,,,734.7596418,778.8518485,734.7516456,4,0,4,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-14_09h50.51.049,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,734.7516385,704.751138,790.9631979,778.851922,703.5758025,658.2429317,,,,,,,,,,,,,,,,
582871,22,64,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"the defedant had a plan prior to going into the hosdpital, she has a second p[erson help her carry out this plan with her who was going to disdapaer after the whole situation went down, the dfedent gets top the hoswp[iutal has her helper go to the flooor of th abbay while she goes to visit"" someone on a different floor and while her helper was taking the baby she went to the restoroom as to not be seen whiule the crime wasd occuring the helper hyanded the baby off to hger while she was leaving the hospital",790.9893146,,,240.046473,,,,,51,810.2280747,809.40352,,,,,,,,,,,,,840.2325581,935.9090173,840.2245568,5,0,5,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-14_09h50.51.049,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,840.22455,810.2280825,950.3820963,935.9090865,809.4035095,790.9633836,,,,,,,,,,,,,,,,
582871,19,51,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"a loud party was happening next door to the defendent, it got him irrated and worked up leading him to call 911 and make a complaent, but his neighbor nexct to him was even more made scererltly, the neighbor deiced to shoot into the window of the party becauise he was spo angery at the kids throwing the party, no one saw him tho because he kept himslef fairl;y hiden from witnesses",950.4047028,,,240.046473,,,,,3,971.5437457,970.6935066,,,,,,,,,,,,,1001.54865,1088.386835,1001.539803,6,0,6,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-14_09h50.51.049,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,1001.539796,971.5437542,1098.438815,1088.386922,970.6934965,950.3822894,,,,,,,,,,,,,,,,
582871,20,48,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"the dfednent is a good worker wqho rings up every itema nd bags for costyumers everytime she is on the clock, a jealous co worker decides to sabtodge her and ecuse her of  embbelezement to attempt to get her fired",1098.461102,,,240.046473,,,,,4,1126.496734,1125.138097,,,,,,,,,,,,,1156.50592,1205.635602,1156.496957,7,0,7,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-14_09h50.51.049,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,1156.496949,1126.496743,1213.057276,1205.635722,1125.138084,1098.439008,,,,,,,,,,,,,,,
582871,18,80,clear_in,clear_ex,clear_in,clear_in,Guilty,"the defendent has been conducting this opperation secretly for a verty long time, doin g everything possible to try and keep it under wqraps, usiung immagrants to make money and conduct human trafficing, the defedent felt no other chocier then to proceed in this operation, being the ieasted wqay for hiom to tmake money, multiple times almost egttting caught on by law enforrement, although he was pretty good at hiding eveyrthing ",1213.084099,,,240.046473,,,,,66,1246.361081,1244.04373,,,,,,,,,,,,,1276.366266,1376.255961,1276.357536,8,0,8,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_09h50.51.049,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1276.357528,1246.361089,1385.21192,1376.256028,1244.043719,1213.057462,,,,,,,,,,,,,,,,
582871,24,78,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"the defedneant created a cover up coompany to run and made it look very real to the public as well as her costumers, she made this company in order to runa scheme without getting caught. her goal was to make a lot fo money easily. she did everything in her power to make the company and the promise she made look nreral, ",1385.238615,,,240.046473,,,,,21,1408.584883,1407.905819,,,,,,,,,,,,,1438.59447,1506.09092,1438.58548,9,0,9,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-14 09h50.58.306999 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_09h50.51.049,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1438.585473,1408.584891,1513.004462,1506.090996,1407.905807,1385.212117,,,,,,,,,,,,,,,,
