participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
778465,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14551800000481308,0.14546599995810539,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
778465,31,,5,,,,,,,279.05774909991305,,,,,,,,,,60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,30,0,30,30,,,,,Pate,2026-04-21_14h01.46.653,,,Homicide,Firing a gun into a public event and killing five people.,Murder 1st - 5 counts,TRUE,0,5,5,0,3.1414322999771684,3.141435500001535,1,Propensity,"Axel Watson is charged with firing multiple rounds from assault rifles into a crowded downtown crafts festival and concert. The Prosecution alleges Mr. Watson used a false identity online to book a fourth-floor hotel room, checked in, waited for the park below his window to fill up, and then fired from his window, killing five and wounding four others.",0.17067379993386567,0.17065979994367808,,,,,,,,,323.57567109994125,282.1997583999764,282.19970170001034,279.0477532999357
778465,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_14h01.46.653,,,,,,,,,,,,,1,,,,,,,,,,,361.28170259995386,323.57573189993855,,,,
778465,28,69,0,clear_ex,clear_in,clear_in,clear_in,Guilty,"I imagined a middle age mad getting a couple gallons of gas from a store and then late at night going to someones house and dumping the gas all along the outside of the house and then lighting it up with a lighter and leaving. I imagine the house burning down and the homeless person waking up from the inside with the entire house being swallowed in flames.
",361.3152177,,,Guilty,69,50,,,,,60,,,,,50,410.3609578,397.28313729993533,,,,,,,,,,,,,440.3627210999839,548.6823059999151,440.3509843999054,0,0,0,8,"I imagined a middle age mad getting a couple gallons of gas from a store and then late at night going to someones house and dumping the gas all along the outside of the house and then lighting it up with a lighter and leaving. I imagine the house burning down and the homeless person waking up from the inside with the entire house being swallowed in flames.
",0,0,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-04-21_14h01.46.653,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,440.3503006999381,410.3613401999464,569.0778297999641,548.6834197000135,397.28304899996147,361.2984317999799,,,,,,
778465,19,19,1,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,I imagine a very loud party occuring one night and extremely angry neighbors. I imagine different people calling the cops to stop the party and then I imagine someone shooting out of their window and hitting a glass bottle and two people being injured cause an ambulance to come to the house.,569.1104195999214,,,Not Guilty,19,3,,,,,60,,,,,3,606.8592314999551,605.0742674,,,,,,,,,,,,,636.8552903999807,712.9063960999483,636.8474395999219,1,0,1,4,I imagine a very loud party occuring one night and extremely angry neighbors. I imagine different people calling the cops to stop the party and then I imagine someone shooting out of their window and hitting a glass bottle and two people being injured cause an ambulance to come to the house.,1,0,,,,,,,,,,,,,,,E,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,???,2026-04-21_14h01.46.653,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,636.8472164999694,606.8592841000063,723.6233050000155,712.9073708999204,605.074209,569.0998963,,,,,,
778465,22,30,2,ambiguous,clear_in,clear_ex,clear_ex,Guilty,I imagine Garcia entering the hospital to see someone on a different floor and then the alarm sounds that a baby was taken. Then I imagine Garcia leaving the hospital with a baby in her arms.,723.6475046999985,,,Guilty,30,72,,,,,60,,,,,72,773.8629381000064,772.4160025999881,,,,,,,,,,,,,803.8552076999331,850.5439632,803.8475921999197,2,0,2,6,I imagine Garcia entering the hospital to see someone on a different floor and then the alarm sounds that a baby was taken. Then I imagine Garcia leaving the hospital with a baby in her arms.,2,0,,,,,,,,,,,,,,,E,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-21_14h01.46.653,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,803.8473877999932,773.8629883999238,864.4727051999653,850.5449158999836,772.4159449000144,723.6337521999376,,,,,,
778465,14,100,3,clear_ex,ambiguous,clear_in,clear_in,Guilty,I imagine that this person sold their sailboat with the intention of using the money to bride one of the zoning board members into agreeing with him for the vote they were going to be touching on. ,864.4926856999518,,,Guilty,100,100,,,,,60,,,,,100,892.1367573000025,890.1773593999678,,,,,,,,,,,,,922.1332321999362,995.7461901999777,922.1214808999794,3,0,3,2,I imagine that this person sold their sailboat with the intention of using the money to bride one of the zoning board members into agreeing with him for the vote they were going to be touching on. ,3,0,,,,,,,,,,,,,,,F,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,????,2026-04-21_14h01.46.653,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,922.1209368999116,892.1368094999343,1004.2400408999529,995.7471159999259,890.1772956999484,864.4826793000102,,,,,,
778465,6,100,4,clear_in,clear_in,clear_ex,clear_in,Guilty,I imagine Mrs. Mitchell going into a target and getting clothing items she wanted to take and then going into a changing room and taking the price tags off and then putting the clothes on. Then I imagine her going and getting other things to check out with so she doesnt look suspicious and then leaving the target.,1004.2678548999829,,,Guilty,100,100,,,,,60,,,,,100,1047.0574640999548,1045.215829599998,,,,,,,,,,,,,1077.0537696999963,1144.274983500014,1077.041605599923,4,0,4,1,I imagine Mrs. Mitchell going into a target and getting clothing items she wanted to take and then going into a changing room and taking the price tags off and then putting the clothes on. Then I imagine her going and getting other things to check out with so she doesnt look suspicious and then leaving the target.,4,0,,,,,,,,,,,,,,,M1,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-21_14h01.46.653,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1077.0414442999754,1047.0575164000038,1148.9505380999763,1144.2758938999614,1045.2157698000083,1004.2521603999194,,,,,,
778465,30,82,5,clear_in,clear_ex,ambiguous,clear_in,Guilty,I imagine the accused getting drunk and then trying to drive himself home and while he was driving home he got irritable about people walking in the street and he started driving on the sidewalk and tried to kill people and then he got out of his car and fleed the scene.,1148.9706405999605,,,Guilty,82,100,,,,,60,,,,,100,1180.5595311999787,1179.6179282999365,,,,,,,,,,,,,1210.5517860999098,1281.0243493999587,1210.543661899981,5,0,5,9,I imagine the accused getting drunk and then trying to drive himself home and while he was driving home he got irritable about people walking in the street and he started driving on the sidewalk and tried to kill people and then he got out of his car and fleed the scene.,5,0,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-21_14h01.46.653,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,1210.5434941999847,1180.5595810000086,1286.800993999932,1281.0252888000105,1179.6178656999255,1148.9598880999256,,,,,,
778465,2,66,6,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,I imagine this woman going into the store and getting clothes and then trying them on at the same time someone is trying to steal and then leaving wityh the clothes to put them back on the rack.,1286.8332093999488,,,Not Guilty,66,0,,,,,60,,,,,0,1344.319000099902,1343.5069253999973,,,,,,,,,,,,,1374.3206104999408,1428.686700799968,1374.3073833999224,6,0,6,0,I imagine this woman going into the store and getting clothes and then trying them on at the same time someone is trying to steal and then leaving wityh the clothes to put them back on the rack.,6,0,,,,,,,,,,,,,,,M3 ,,,2024.2.4,,,,,,2026-04-21 14h02.01.745128 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-21_14h01.46.653,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1374.307199999923,1344.319051599945,1438.6535896999994,1428.6877238999587,1343.5068678999087,1286.814539999934,,,,,,
