participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
833610,2,74,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,It feels like the case lacks crucial damning evidence for a guilty but it would make sense if such a case were to happen in real life.,178.71083360002376,,,119.69482614421945,,,1,,25,245.72967700008303,237.52804730006028,,,,,,,,,,,,,275.73829480004497,394.33165670000017,275.7254710000707,0,0,0,0,,,,,,,,,,,,,,,M3 ,0.0549234,0.0548747,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-22_08h05.52.413,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,5.513091499917209,5.513096499955282,TRUE,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",0.0695876,0.0695229,275.7254637000151,245.72968530002981,416.6207214000169,394.33178980008233,237.5280348000815,178.67864090006333,178.6734632999869,139.91038360004313,139.9103741000872,107.71391729998868,107.69652670004871,102.1769792000996
833610,24,66,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"this is a tough one, its hard again to make a sound verdict. It seems that even if she is guilty, there is only very light evidence, far from enough to condemn her",416.65193819999695,,,119.69482614421945,,,,,39,470.9708216000581,464.4331806000555,,,,,,,,,,,,,500.9756872000871,665.5589927000692,500.96723060007207,1,0,1,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_08h05.52.413,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,500.96722230000887,470.97082980000414,687.2676776000299,665.5590855000773,464.4331638,416.6209742000792,,,,,,
833610,6,88,clear_in,clear_in,clear_ex,clear_in,Not Guilty,"Luckily for this case, there is some physical evidence. However, it's still not enough",687.2910538000287,,,119.69482614421945,,,,,52,769.1807170000393,744.3178741000593,,,,,,,,,,,,,799.1814809000352,861.6541403,799.1728885000339,2,0,2,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_08h05.52.413,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,799.1728805000894,769.1807253999868,883.0980212000431,861.6542114000767,744.3178602000698,687.2678723999998,,,,,,
833610,14,95,clear_ex,ambiguous,clear_in,clear_in,Guilty,"the only counter against this trail, the dna found present in the envelope, does not feel strong enough to counter the mounting evidence",883.1244232000317,,,119.69482614421945,,,,,82,944.6299017000711,941.3964356,,,,,,,,,,,,,974.6349582000403,1098.945510199992,974.6264489000896,3,0,3,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-22_08h05.52.413,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,974.6264411000302,944.6299112,1108.2922825000715,1098.9455804000609,941.3964204000076,883.0982421000954,,,,,,
833610,20,72,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"the Evidence feels like too little to be condemning, as one of the pieces of evidence is a witness(worst for court cases)",1108.323264000006,,,119.69482614421945,,,,,15,1158.721324000042,1156.8837533000624,,,,,,,,,,,,,1188.725972,1300.335895700031,1188.717662799987,4,0,4,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-22_08h05.52.413,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,1188.7176499000052,1158.7213326999918,1317.5342093000654,1300.335984300007,1156.883740600082,1108.2924652000656,,,,,
833610,19,96,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"still no real solid proof here, actually more proof for the ladder",1317.556924100034,,,119.69482614421945,,,,,8,1349.4623793000355,1347.2956761000678,,,,,,,,,,,,,1379.4628505000146,1435.3587738000788,1379.4548979999963,5,0,5,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-22_08h05.52.413,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,1379.4548905000556,1349.4623917000135,1451.9318160000257,1435.3588395999977,1347.295665499987,1317.5344096000772,,,,,,
833610,22,69,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"yikes, this one is very split, with evidence on both sides. however it feels like the cases supporting her are less valid than hard-core video evidence",1451.954460900044,,,119.69482614421945,,,,,69,1509.706985500059,1506.6477610000875,,,,,,,,,,,,,1539.707404099987,1645.522433300037,1539.6992308000335,6,0,6,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-22_08h05.52.413,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1539.6992234000936,1509.7069939000066,1665.0733656000812,1645.522525700042,1506.6477398000425,1451.9320057000732,,,,,,
833610,18,100,clear_in,clear_ex,clear_in,clear_in,Guilty,"The physical evidence is semi lacking but the dna found is very important, id convict this guy",1665.100365600083,,,119.69482614421945,,,,,93,1713.5612556000706,1713.3314337000484,,,,,,,,,,,,,1743.561705,1810.679836800089,1743.552972500096,7,0,7,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_08h05.52.413,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1743.5529636000283,1713.5612637000158,1830.0352851999924,1810.6799029000103,1713.331422300078,1665.0735639000777,,,,,,
833610,28,86,clear_ex,clear_in,clear_in,clear_in,Not Guilty,"without the exact physical evidence, theres no way to say for sure. therefore, we should probably assume not guilty",1830.058070900035,,,119.69482614421945,,,,,10,1868.238536000019,1867.9016215000302,,,,,,,,,,,,,1898.2430678000674,1969.7993474000832,1898.234921,8,0,8,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-22_08h05.52.413,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1898.234913000022,1868.238543900079,1983.5719534000382,1969.7994301000144,1867.9016103000613,1830.0354783000657,,,,,,
833610,30,87,clear_in,clear_ex,ambiguous,clear_in,Guilty,"the DNA evidence isa very important and very damning, especailly when assosiated with the murder weapon",1983.5984416999854,,,119.69482614421945,,,,,72,2023.329301299993,2022.8204924000893,,,,,,,,,,,,,2053.329918,2136.3561172999907,2053.3213490000926,9,0,9,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-22 08h06.04.414944 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_08h05.52.413,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,2053.3213411000324,2023.3293090000516,2148.9288152999943,2136.3561845000368,2022.8204809000017,1983.572146099992,,,,,,
