participant,lureCaseNum,lureType,evidenceUsedResponse.response,confidenceLevel.response,condition,confidence,caseStrength,verdict,realRate,caseType
411357,20.0,criticalExculp,No,Moderately Confident,0,2,42.0,0.0,47.0,exculp
411357,20.0,minorExculp,No,Very Confident,0,1,42.0,0.0,47.0,exculp
411357,20.0,criticalInculp,Yes,Moderately Confident,0,5,42.0,0.0,47.0,exculp
411357,20.0,evidence4,Yes,Moderately Confident,0,5,42.0,0.0,47.0,exculp
411357,20.0,evidence2,Yes,Moderately Confident,0,5,42.0,0.0,47.0,exculp
411357,20.0,minorInculp,No,Very Confident,0,1,42.0,0.0,47.0,exculp
411357,20.0,evidence1,No,Moderately Confident,0,2,42.0,0.0,47.0,exculp
411357,20.0,evidence3,Yes,Very Confident,0,6,42.0,0.0,47.0,exculp
411357,28.0,minorExculp,No,Very Confident,0,1,80.0,1.0,43.0,inculp
411357,28.0,evidence3,Yes,Very Confident,0,6,80.0,1.0,43.0,inculp
411357,28.0,criticalInculp,Yes,Very Confident,0,6,80.0,1.0,43.0,inculp
411357,28.0,minorInculp,No,Very Confident,0,1,80.0,1.0,43.0,inculp
411357,28.0,criticalExculp,No,Moderately Confident,0,2,80.0,1.0,43.0,inculp
411357,28.0,evidence4,Yes,Very Confident,0,6,80.0,1.0,43.0,inculp
411357,28.0,evidence2,Yes,Very Confident,0,6,80.0,1.0,43.0,inculp
411357,28.0,evidence1,Yes,Very Confident,0,6,80.0,1.0,43.0,inculp
411357,18.0,evidence2,Yes,Very Confident,0,6,77.0,1.0,79.0,inculp
411357,18.0,criticalExculp,Yes,Not Confident,0,4,77.0,1.0,79.0,inculp
411357,18.0,minorInculp,Yes,Very Confident,0,6,77.0,1.0,79.0,inculp
411357,18.0,evidence4,Yes,Very Confident,0,6,77.0,1.0,79.0,inculp
411357,18.0,evidence3,Yes,Moderately Confident,0,5,77.0,1.0,79.0,inculp
411357,18.0,minorExculp,No,Moderately Confident,0,2,77.0,1.0,79.0,inculp
411357,18.0,evidence1,Yes,Very Confident,0,6,77.0,1.0,79.0,inculp
411357,18.0,criticalInculp,No,Very Confident,0,1,77.0,1.0,79.0,inculp
411357,30.0,criticalExculp,No,Very Confident,0,1,99.0,1.0,63.0,ambig
411357,30.0,criticalInculp,No,Very Confident,0,1,99.0,1.0,63.0,ambig
411357,30.0,evidence2,No,Very Confident,0,1,99.0,1.0,63.0,ambig
411357,30.0,evidence4,No,Very Confident,0,1,99.0,1.0,63.0,ambig
411357,30.0,minorExculp,No,Very Confident,0,1,99.0,1.0,63.0,ambig
411357,30.0,evidence1,Yes,Very Confident,0,6,99.0,1.0,63.0,ambig
