participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
080103,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0503158,0.050267199985682964,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
080103,31,,5,,,,,,,78.54728089994751,,,,,,,,,,60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,30,0,30,30,,,,,Pate,2026-04-22_11h01.50.337,,,Homicide,Firing a gun into a public event and killing five people.,Murder 1st - 5 counts,TRUE,0,5,5,0,4.803135700058192,4.803141500102356,1,Propensity,"Axel Watson is charged with firing multiple rounds from assault rifles into a crowded downtown crafts festival and concert. The Prosecution alleges Mr. Watson used a false identity online to book a fourth-floor hotel room, checked in, waited for the park below his window to fill up, and then fired from his window, killing five and wounding four others.",0.0595295,0.0595155,,,,,,,,,101.16794089996256,83.35095089999959,83.35089160001371,78.53370129992254
080103,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-22_11h01.50.337,,,,,,,,,,,,,1,,,,,,,,,,,121.99721229996067,101.16799479990732,,,,
080103,18,60,0,clear_in,clear_ex,clear_in,clear_in,Not Guilty,I imagined a tall and stern man standing before a jury,122.0302142999135,,,Not Guilty,60,48,,,,,60,,,,,48,191.5751984999515,175.86244699999224,,,,,,,,,,,,,221.5757542999927,283.4769909000024,221.56403599993791,0,0,0,3,I imagined a tall and stern man standing before a jury,0,0,,,,,,,,,,,,,,,F,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_11h01.50.337,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,221.56368669995572,191.57611969998106,348.1962754999986,283.47815949993674,175.86239149991889,122.01508919999469,,,,,,
080103,20,73,1,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,I imagined the camera footage being shown with a woman's voice narrating the facts,348.2363438999746,,,Not Guilty,73,6,,,,,60,,,,,6,426.62984870001674,391.64574900001753,,,,,,,,,,,,,456.6316918999655,497.95649579993915,456.6196500000078,1,0,1,5,I imagined the camera footage being shown with a woman's voice narrating the facts,1,0,,,,,,,,,,,,,,,C,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-04-22_11h01.50.337,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,456.6194535999093,426.62990920001175,514.4195481,497.9573975999374,391.64568059996236,348.2175525999628,,,,,
080103,2,73,2,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,I imagined the video being shown with a voice recording of the minister playing,514.4438943999121,,,Not Guilty,73,49,,,,,60,,,,,49,647.4602889999514,642.9561320999637,,,,,,,,,,,,,677.4582354,703.3160623000003,677.4459508999716,2,0,2,0,I imagined the video being shown with a voice recording of the minister playing,2,0,,,,,,,,,,,,,,,M3 ,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-22_11h01.50.337,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,677.4457635999424,647.4603455,718.0580027999822,703.3170565000037,642.9560529999435,514.4313899999252,,,,,,
080103,19,70,3,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,I imagine the call to the police being played with a depiction of a 911 operator,718.0781748999143,,,Not Guilty,70,28,,,,,60,,,,,28,790.5971572999842,786.5346296000062,,,,,,,,,,,,,820.5992879999103,915.4338724999689,820.5867458999855,3,0,3,4,I imagine the call to the police being played with a depiction of a 911 operator,3,0,,,,,,,,,,,,,,,E,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,???,2026-04-22_11h01.50.337,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,820.5865619999822,790.5972089999123,927.6466510000173,915.4348010999383,786.5345687000081,718.0674432999222,,,,,,
080103,28,37,4,clear_ex,clear_in,clear_in,clear_in,Guilty,I imagined a bearded man pleading his case and being shown the receipt for the gas canister,927.6666886,,,Guilty,37,82,,,,,60,,,,,82,990.0241314999294,988.5646434999071,,,,,,,,,,,,,1020.0247339999769,1083.0932492999127,1020.0129548999248,4,0,4,8,I imagined a bearded man pleading his case and being shown the receipt for the gas canister,4,0,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-04-22_11h01.50.337,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1020.0127798999893,990.0241795999464,1095.459022999974,1083.0942091000034,988.5645860999357,927.6559529999504,,,,,,
080103,24,53,5,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,I imagine a blonde woman being questioned on her fingerprint on the document,1095.4833804999944,,,Not Guilty,53,41,,,,,60,,,,,41,1220.5423017999856,1158.9730411999626,,,,,,,,,,,,,1250.5383956999285,1289.461484999978,1250.5269086000044,5,0,5,7,I imagine a blonde woman being questioned on her fingerprint on the document,5,0,,,,,,,,,,,,,,,C,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_11h01.50.337,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1250.5264659000095,1220.5423580999486,1317.193708100007,1289.462408799911,1158.9729751999257,1095.4697650999296,,,,,,
080103,22,78,6,ambiguous,clear_in,clear_ex,clear_ex,Not Guilty,I imagined a tan skinned woman being questioned on what she was doing at the hospital and the evidence of the video of her with a baby,1317.2180307999952,,,Not Guilty,78,48,,,,,60,,,,,48,1396.3135704000015,1395.1331844999222,,,,,,,,,,,,,1426.3144571000012,1474.5245542000048,1426.3021319999825,6,0,6,6,I imagined a tan skinned woman being questioned on what she was doing at the hospital and the evidence of the video of her with a baby,6,0,,,,,,,,,,,,,,,E,,,2024.2.4,,,,,,2026-04-22 11h02.58.159027 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-22_11h01.50.337,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1426.3019544999115,1396.3136270999676,1500.3441171000013,1474.525718400022,1395.1331113999477,1317.2037578999298,,,,,,
