participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,piloting,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expVersion,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
106,,,,,,,,,,,,,,,,,,,,60,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016853900015121326,0.016812,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_11h06.00.530,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
106,31,,5,,,,,,,121.54134730002261,,,,,,,,,,60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,A,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,30,0,30,30,,,,,Pate,2026-04-21_11h06.00.530,,,Homicide,Firing a gun into a public event and killing five people.,Murder 1st - 5 counts,TRUE,0,5,5,0,4.083747399999993,4.083751800004393,0,Propensity,"Axel Watson is charged with firing multiple rounds from assault rifles into a crowded downtown crafts festival and concert. The Prosecution alleges Mr. Watson used a false identity online to book a fourth-floor hotel room, checked in, waited for the park below his window to fill up, and then fired from his window, killing five and wounding four others.",0.0431247,0.0431103,,,,,,,,,148.2752643999993,125.6262732000032,125.6262129000097,121.51621390000219
106,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,,2026-04-21_11h06.00.530,,,,,,,,,,,,,0,,,,,,,,,,,191.27718190001906,148.27532559999963,,,,
106,2,100,0,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"They found smudged fingerprints on the scissors besides the anti-theft tags that couldn't be used to identify or not identify Ms. Armstrong.
 The store assistant claims she heard scissors being used inside of the dressing room, and identified Ms. Armstrong as the woman who left that dressing room.
The store has camera footage of Ms. Armstrong exiting the dressing room and returning the dress to a rack.
Ms. Armstrong has a strong reputation.",191.32564710002043,,,Not Guilty,100,18,,,,,60,,,,,18,,276.3435782000015,251.49349130000337,,,,,,,,,,,,,306.3440871000057,422.16290480000316,306.32771219999995,0,0,0,0,"They found smudged fingerprints on the scissors besides the anti-theft tags that couldn't be used to identify or not identify Ms. Armstrong.
 The store assistant claims she heard scissors being used inside of the dressing room, and identified Ms. Armstrong as the woman who left that dressing room.
The store has camera footage of Ms. Armstrong exiting the dressing room and returning the dress to a rack.
Ms. Armstrong has a strong reputation.",0,0,,,,,,,,,,,,,,,M3 ,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-21_11h06.00.530,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,306.3273939,276.3440180000034,447.8130544000014,422.1640615000215,251.49341900000582,191.29747040002258,,,,,,
106,22,90,1,ambiguous,clear_in,clear_ex,clear_ex,Not Guilty,"A digital evidence expert testified that they saw Ms. Garcia leaving the hospital with a baby in her arms on the camera footage.
A nurse testified that they saw Ms. Garcia on a different floor with a patient at the time the alarm went off to notify a baby was missing.
Evidence from a bathroom near an emergency exit matched Ms. Garcia's DNA.
A prominent leader in the community testified that he believes Ms. Garcia is a trustworthy person.",447.8455888000026,,,Not Guilty,90,50,,,,,60,,,,,50,,554.0306367000157,552.5808953000233,,,,,,,,,,,,,584.0309045999893,687.7663748,584.0144427000196,1,0,1,6,"A digital evidence expert testified that they saw Ms. Garcia leaving the hospital with a baby in her arms on the camera footage.
A nurse testified that they saw Ms. Garcia on a different floor with a patient at the time the alarm went off to notify a baby was missing.
Evidence from a bathroom near an emergency exit matched Ms. Garcia's DNA.
A prominent leader in the community testified that he believes Ms. Garcia is a trustworthy person.",1,0,,,,,,,,,,,,,,,E,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-21_11h06.00.530,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,584.0142432000139,554.0306879999989,720.5335066000116,687.7673576000379,552.5808210000105,447.82793030000175,,,,,,
106,19,89,2,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"The bullets recovered from the neighbor's yard do not match the bullets test-fired from Mr. Anderson's only gun.
In a recorded 911 call from Mr. Anderson's house, someone can be heard saying if you don't do something about the party  I will.""
A person from the neighborhood has testified that Mr. Anderson has a non-violent history.
A woman from the party recalled seeing someone from an open window across from Mr. Anderson's house with a gun.""",720.5660679999855,,,Not Guilty,89,11,,,,,60,,,,,11,,780.4337684999919,778.1503503000131,,,,,,,,,,,,,810.4336646000156,924.6366009,810.4175747000263,2,0,2,4,"The bullets recovered from the neighbor's yard do not match the bullets test-fired from Mr. Anderson's only gun.
In a recorded 911 call from Mr. Anderson's house, someone can be heard saying if you don't do something about the party  I will.""
A person from the neighborhood has testified that Mr. Anderson has a non-violent history.
A woman from the party recalled seeing someone from an open window across from Mr. Anderson's house with a gun.""",2,0,,,,,,,,,,,,,,,E,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,???,2026-04-21_11h06.00.530,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,810.4173977000173,780.4338262000238,935.9367793999845,924.6375662999926,778.1502925000386,720.5436878000037,,,,,,
106,24,96,3,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"They went through Ms. Franklin's business records for her two legitimate businesses, as well as her personal documents and tax records, and found nothing related to the fake company.
An employee for Ms. Franklin has testified that she's a trustworthy person.
An insurance agent who works in the same building as the fake company testified that they saw people in the fake company's office, but never Ms. Franklin.
They found a fingerprint that matches Ms. Franklin's on one of the fake company's documents.",935.9687646999955,,,Not Guilty,96,47,,,,,60,,,,,47,,1082.220865499985,1021.7535303999903,,,,,,,,,,,,,1112.2211205000058,1226.4065304000396,1112.2048864000244,3,0,3,7,"They went through Ms. Franklin's business records for her two legitimate businesses, as well as her personal documents and tax records, and found nothing related to the fake company.
An employee for Ms. Franklin has testified that she's a trustworthy person.
An insurance agent who works in the same building as the fake company testified that they saw people in the fake company's office, but never Ms. Franklin.
They found a fingerprint that matches Ms. Franklin's on one of the fake company's documents.",3,0,,,,,,,,,,,,,,,C,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-21_11h06.00.530,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1112.2046990999952,1082.2209237000206,1234.8405540999956,1226.4075296000228,1021.7534573000157,935.9484391000005,,,,,,
106,30,96,4,clear_in,clear_ex,ambiguous,clear_in,Guilty,"They found selfies on Mr. Juval's phone of him drinking wine at a bar two miles away from the crash site.
A victim who was knocked over by the fleeing vehicle testified that it could have been Mr. Juval, but could've been someone else.
An expert testified that a palm print found on the driver's side door matches Mr. Juval's.
Mr. Juval was previously convicted 5 years ago of assault on construction workers.",1234.8730501999962,,,Guilty,96,48,,,,,60,,,,,48,,1327.5074056999874,1325.6743512999965,,,,,,,,,,,,,1357.5075911000022,1460.642703999998,1357.4916124999872,4,0,4,9,"They found selfies on Mr. Juval's phone of him drinking wine at a bar two miles away from the crash site.
A victim who was knocked over by the fleeing vehicle testified that it could have been Mr. Juval, but could've been someone else.
An expert testified that a palm print found on the driver's side door matches Mr. Juval's.
Mr. Juval was previously convicted 5 years ago of assault on construction workers.",4,0,,,,,,,,,,,,,,,A,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-21_11h06.00.530,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,1357.4914117000299,1327.5074618000071,1472.3604033000302,1460.6436410000315,1325.674286100024,1234.8508102000342,,,,,,
106,6,94,5,clear_in,clear_in,clear_ex,clear_in,Guilty,"Torn packaging was found in the fitting room with prints that matched the defendants.
The defendant's employees have testified that in their opinion, she was prone to theft.
The cashier working at the time of the theft claims the defendant was not the woman who purchased the chocolate milk, peanut butter, and raisin bread.
Investigators recovered a time-stamped reciept from Target with chocolate milk, peanut butter, and raisin bread in the defendant's apartment.",1472.3924900999991,,,Guilty,94,80,,,,,60,,,,,80,,1566.2272164000315,1565.6272622999968,,,,,,,,,,,,,1596.2276722000097,1711.6628222999861,1596.2111440000008,5,0,5,1,"Torn packaging was found in the fitting room with prints that matched the defendants.
The defendant's employees have testified that in their opinion, she was prone to theft.
The cashier working at the time of the theft claims the defendant was not the woman who purchased the chocolate milk, peanut butter, and raisin bread.
Investigators recovered a time-stamped reciept from Target with chocolate milk, peanut butter, and raisin bread in the defendant's apartment.",5,0,,,,,,,,,,,,,,,M1,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-04-21_11h06.00.530,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1596.2109675999964,1566.2272666000063,1719.0135834999965,1711.6638254999998,1565.6271934999968,1472.369585700042,,,,,,
106,28,97,6,clear_ex,clear_in,clear_in,clear_in,Guilty,"A reciept for a five-gallon gas can was found in Mr. Farqooih's residence, the same gas can that was left in the fire.
Mr. Farqooih's ex-employer testified that Mr. Farqooih was not a law-abiding person.
An investigator testified that no fingerprints at the scene matched Mr. Farqooih's.
An eyewitness saw someone later identified as Mr. Farqooih near the building with a gas can.",1719.0456571000395,,,Guilty,97,72,,,,,60,,,,,72,,1778.3634377000271,1778.0300681000226,,,,,,,,,,,,,1808.3637493000133,1908.1151088000042,1808.3473664000048,6,0,6,8,"A reciept for a five-gallon gas can was found in Mr. Farqooih's residence, the same gas can that was left in the fire.
Mr. Farqooih's ex-employer testified that Mr. Farqooih was not a law-abiding person.
An investigator testified that no fingerprints at the scene matched Mr. Farqooih's.
An eyewitness saw someone later identified as Mr. Farqooih near the building with a gas can.",6,0,,,,,,,,,,,,,,,A,,,2026.1.3,,,,,,,2026-04-21 11h06.03.926567 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-04-21_11h06.00.530,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1808.3471996000153,1778.3634870999958,1914.1831378000206,1908.1166025000275,1778.030009899987,1719.0229332000017,,,,,,
