participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,,,,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,,,,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,,,,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,,,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
148,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0857262,0.085677,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,,,,,2026-04-24_10h55.49.088,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
148,31,,6,,,,,,,63.89597019998473,,,,,,,,,,60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,30,0,30,30,,,,,Pate,,,,2026-04-24_10h55.49.088,,,Homicide,Firing a gun into a public event and killing five people.,Murder 1st - 5 counts,TRUE,0,6,6,0,3.6961615000036545,3.6961645999981556,0,Propensity,,,"Axel Watson is charged with firing multiple rounds from assault rifles into a crowded downtown crafts festival and concert. The Prosecution alleges Mr. Watson used a false identity online to book a fourth-floor hotel room, checked in, waited for the park below his window to fill up, and then fired from his window, killing five and wounding four others.",0.0947219,0.0947079,,,,,,,,,72.6470052,67.59264319998329,67.5925847,63.888119499984896
148,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,,,,,2026-04-24_10h55.49.088,,,,,,,,,,,,,0,,,,,,,,,,,,,78.40956679999363,72.64706149999984,,,,
148,2,100,0,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"she was seen taking the dress into the fitting room and then was heard with scissors however, the security shows her putting the dress back on the rack. It is argues that she is a very truthful person.",78.44266529998276,,,Not Guilty,100,52,,,,,60,,,,,52,,,,131.49540439998964,119.78543739998713,,,,,,,,,,,,,161.4961754999822,248.49441919999663,161.48425069998484,0,0,0,0,"she was seen taking the dress into the fitting room and then was heard with scissors however, the security shows her putting the dress back on the rack. It is argues that she is a very truthful person.",0,0,,,,,,,,,,,,,,,M3 ,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,Artemis,,,,2026-04-24_10h55.49.088,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,,,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,161.48390129997279,131.49615409999387,269.3725995999994,248.49553649997688,119.78537759999745,78.42555369998445,,,,,,
148,20,17,1,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"A customer sees her not scanning all of the items but when the items are found in a different store, her finger prints are not on the items. She has an honorable reputation and security does not show any evidence of her doing this.",269.4010881999857,,,Not Guilty,17,0,,,,,60,,,,,0,,,,326.47956769997836,324.76979839999694,,,,,,,,,,,,,356.47585,466.4944439,356.4634670999949,1,0,1,5,"A customer sees her not scanning all of the items but when the items are found in a different store, her finger prints are not on the items. She has an honorable reputation and security does not show any evidence of her doing this.",1,0,,,,,,,,,,,,,,,C,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,Don,,,,2026-04-24_10h55.49.088,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,,,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,356.46328449997236,326.47962209998514,479.4703434999974,466.49563769999077,324.7697379999736,269.38725369999884,,,,,
148,14,56,2,clear_ex,ambiguous,clear_in,clear_in,Guilty,"he sold his boat 3 weeks prior for 43,000 dollars
His DNA was found on the envelope slip
",479.4988452999969,,,Guilty,56,100,,,,,60,,,,,100,,,,532.0080834999972,529.1914281999925,,,,,,,,,,,,,562.0102567999857,613.6114463999984,561.9979180999799,2,0,2,2,"he sold his boat 3 weeks prior for 43,000 dollars
His DNA was found on the envelope slip
",2,0,,,,,,,,,,,,,,,F,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,????,,,,2026-04-24_10h55.49.088,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,,,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,561.9977490999736,532.0081381999771,624.5862388,613.6123606999754,529.1913676999975,479.48202849997324,,,,,,
148,22,79,3,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"She was seen entering the hospital and then exiting with a baby
Her dna was found in a bathroom near the hospital
her friend says she is a very truthful person
",624.6149329999753,,,Guilty,79,99,,,,,60,,,,,99,,,,674.9839862,668.3752412,,,,,,,,,,,,,704.9844018000003,759.9727269,704.9720195999835,3,0,3,6,"She was seen entering the hospital and then exiting with a baby
Her dna was found in a bathroom near the hospital
her friend says she is a very truthful person
",3,0,,,,,,,,,,,,,,,E,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,Artemis,,,,2026-04-24_10h55.49.088,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,,,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,704.9718434999813,674.9840396999789,768.5059512999724,759.9736518999853,668.3751753999968,624.5977746,,,,,,
148,30,51,4,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"eyewitness says it maybe him 
his palm print matched what was on the SUV
convivted of a crime 5 years prior 
selfies show him at a bar 2 miles away",768.5259726999793,,,Not Guilty,51,61,,,,,60,,,,,61,,,,817.2171389999858,816.0791565999971,,,,,,,,,,,,,847.213024,922.6177049999824,847.2049036999815,4,0,4,9,"eyewitness says it maybe him 
his palm print matched what was on the SUV
convivted of a crime 5 years prior 
selfies show him at a bar 2 miles away",4,0,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,Pate,,,,2026-04-24_10h55.49.088,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,,,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,847.2047091999848,817.2171965,931.9015585,922.6186607999844,816.0790917999984,768.5156592999992,,,,,,
148,18,87,5,clear_in,clear_ex,clear_in,clear_in,Guilty,"convicted of forgary
dna on soda can
seen giving envvelope to driver of 16 immagrants",931.9300609999918,,,Guilty,87,78,,,,,60,,,,,78,,,,1018.2076743999787,1016.7453517999966,,,,,,,,,,,,,1048.2056807999907,1076.198041799973,1048.1935437999782,5,0,5,3,"convicted of forgary
dna on soda can
seen giving envvelope to driver of 16 immagrants",5,0,,,,,,,,,,,,,,,F,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,Pate,,,,2026-04-24_10h55.49.088,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,,,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1048.1933733999904,1018.2077280999802,1086.0368103999936,1076.198943699972,1016.7452659999835,931.9150396999903,,,,,,
148,28,61,6,clear_ex,clear_in,clear_in,clear_in,Guilty,"reciept for gas matching what was used in the fire
friend says hes a law-abiding person
seen aroun d the fire 
No dna matches
",1086.064699999988,,,Guilty,61,78,,,,,60,,,,,78,,,,1117.9351254999929,1116.0101510999957,,,,,,,,,,,,,1147.936991799972,1223.6850125999772,1147.9250984999817,6,0,6,8,"reciept for gas matching what was used in the fire
friend says hes a law-abiding person
seen aroun d the fire 
No dna matches
",6,0,,,,,,,,,,,,,,,A,,,2024.2.4,,,,,,,,,2026-04-24 11h01.46.981324 -0600,JurorPsychopyTest,,,,,,,,,Don,,,,2026-04-24_10h55.49.088,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,,,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1147.9246698999777,1117.935178899992,1231.1054667999852,1223.6863225999987,1116.0100906999724,1086.0475315999938,,,,,,
