participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,
15,20,95,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,I think there should be hard evidence that she is guilty. With barely any footage and no fingerprint I dont think shes guilty.,443.7919121,,,120.0813191,,1,,8,490.1676943,480.3925007,,,,,,,,,,,,,520.1765364,570.3141625,520.1640721,0,0,0,5,,,,,,,,,,,,,,,C,0.0481111,0.048063,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-03-27_14h58.45.976,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,4.7756374,4.77564,TRUE,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,0.0806945,0.0806325,520.1640647,490.1677021,588.041425,570.3142865,480.3924893,443.7636834,443.7586242,404.8211809,404.821173,380.1865713,380.1694634,375.3869718
15,24,43,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,I think if shes not connected in any way  its kinda wierd shes being accused,588.0723279,,,120.0813191,,,,26,635.6818713,634.4473947,,,,,,,,,,,,,665.6863457,702.774137,665.6784528,1,0,1,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-27_14h58.45.976,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,665.6784458,635.6818791,709.4841996,702.7741996,634.447371,588.0416814,,,,,,,
15,19,59,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,He might be hiding a gun somewhere but if an eyewitness saw across the street from his house it snot likely it was him,709.5065945,,,120.0813191,,,,24,746.9918879,741.229624,,,,,,,,,,,,,776.9964292,820.1755004,776.9881909,2,0,2,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,???,2026-03-27_14h58.45.976,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,776.9881833,746.9919003,827.9077212,820.1755655,741.2296138,709.4843907,,,,,,,
15,30,64,clear_in,clear_ex,ambiguous,clear_in,Guilty,I think this is likely if fingerprints match and the selfie isnt a strong alibi,827.9345032,,,120.0813191,,,,57,858.118364,855.3548695,,,,,,,,,,,,,888.1191015,919.1086261,888.1104126,3,0,3,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-27_14h58.45.976,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,888.1104061,858.1183719,925.6535598,919.108708,855.3548582,827.9079078,,,,,,,
15,14,55,clear_ex,ambiguous,clear_in,clear_in,Guilty,He doesnt seem to be reputable and the eyewitness is strong,925.6760078,,,120.0813191,,,,64,957.8152929,957.0478384,,,,,,,,,,,,,987.8156015,1009.985947,987.807487,4,0,4,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,????,2026-03-27_14h58.45.976,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,987.8074803,957.8153057,1017.392093,1009.986012,957.0478277,925.6537551,,,,,,,
15,18,47,clear_in,clear_ex,clear_in,clear_in,Guilty,Evidence is fine ,1017.419094,,,120.0813191,,,,52,1056.358411,1055.350109,,,,,,,,,,,,,1086.35861,1104.571437,1086.350284,5,0,5,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-27_14h58.45.976,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1086.350277,1056.358419,1112.23216,1104.571508,1055.350098,1017.392277,,,,,,,
15,22,55,ambiguous,clear_in,clear_ex,clear_ex,Guilty,This seems reputable that this would occur concerning it would take a second for the alarm to go off when someone noticed,1112.258979,,,120.0813191,,,,73,1141.213879,1138.826942,,,,,,,,,,,,,1171.213684,1199.913262,1171.205636,6,0,6,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-27_14h58.45.976,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1171.205629,1141.213887,1209.15714,1199.913336,1138.826931,1112.232354,,,,,,,
15,28,10,clear_ex,clear_in,clear_in,clear_in,Guilty,this is not very convincing to me why is there no cameras but i do think he is probably the person who did it,1209.175547,,,120.0813191,,,,54,1234.743068,1233.943087,,,,,,,,,,,,,1264.744269,1303.560897,1264.736194,7,0,7,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-03-27_14h58.45.976,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1264.736187,1234.743076,1309.5501,1303.561003,1233.943074,1209.157333,,,,,,,
15,6,91,clear_in,clear_in,clear_ex,clear_in,Guilty,This seems probable and like shes the one who did it,1309.572796,,,120.0813191,,,,95,1336.449365,1335.557859,,,,,,,,,,,,,1366.450469,1405.682669,1366.441539,8,0,8,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-27_14h58.45.976,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1366.441533,1336.449373,1410.881146,1405.682748,1335.557848,1309.550284,,,,,,,
15,2,46,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,Doesnt seem to be her if video shows but could be,1410.908117,,,120.0813191,,,,33,1445.841635,1444.729917,,,,,,,,,,,,,1475.842907,1489.37533,1475.834636,9,0,9,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-27_14h58.45.976,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1475.83463,1445.841643,1496.020323,1489.375396,1444.729901,1410.881338,,,,,,,
