participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,,,,
37,14,40,clear_ex,ambiguous,clear_in,clear_in,Guilty,"I pictured the audience (assuming the framing of a courtroom drama) being in a courtroom. Tyrone Jackson is a black individual, and is wearing a suit and tie. We hear the judge read off the accusation, and then get into the evidence. We see his tax form being filled out incorrectly, the selling of the boat, the withdrawal of cash in the middle of the night, the sealing of the envelope -- but whoose hands sealed it? Finally, we see the cash envelope transfer hands, from the perspective of the witness. We go back to the courtroom to see what the lawyers have to say, and the jury's reactions. Tyrone is visibly stressed out, but his lawyer is anchored and prepared to give a strong defense.",158.0633847,,,59.86493274,,,1,,73,237.0654312,225.4319436,,,,,,,,,,,,,267.0663463,532.0398925,267.0495481,0,0,0,2,,,,,,,,,,,,,,,F,0.0457112,0.0454736,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-03_14h16.00.758,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,2.8172731,2.8172771,TRUE,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",0.0545009,0.0544401,267.0495416,237.0654402,575.7599303,532.0400356,225.4319318,158.0352279,158.0301302,103.7129407,103.7129315,78.446923,78.4295494,75.6073119,,,,
37,30,50,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"First, we (the audience of this crime drama) see the crime played out: from the first person perspective, the car swerves left and right, hitting people and visibly injuring them. We might get an exterior shot of the van as it drives, but the driver is obscured. Next, we see the judge and the defendant and hear the charges. The audience has the family of the victims, including the parents of the 7yo boy, played to emotional effect. The audience is then presented with the evidence. The expert shows that the palm prints match, to the defendant's dismay. The defendant gets a little bit rowdy (of course they match! it's my car!"") but is calmed down by his lawyer. Next we see the defense present the photos layed out on a map along with a pin where the crime took place. The photos are timestamped and we see the defendant happily smiling and drinking in them. Next we hear about the construction workers and see a little audio-less vingette of the defendant harassing his workers. Finally we hear from the witness once more and see another closer-up exterior shot of the van as it's driving -- however the glass is still too dim to make out who it was. We go back to the courtroom and see the defendant getting riled up again but being calmed down by his lawyer.""",575.8072025,,,59.86493274,,,,,15,639.2753809,635.17529,,,,,,,,,,,,,669.2760492,1067.253227,669.2600562,1,0,1,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-03_14h16.00.758,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,669.2600483,639.2753901,1092.172813,1067.253319,635.1752759,575.7601829,,,,,,,,,,
37,2,93,ambiguous,clear_ex,clear_in,clear_ex,Guilty,"We start with an introductory scene of the courtroom. We see Wendy, an older white woman, sitting in the defendant's chair. She is wearing quite the fancy dress, as if she were at Church. All characters present have a Southern drawl (which I am inferring entirely off the presence of the minister). The judge reads out the charges, and Wendy stoically does not make any remarks. We get into the evidence. We see an undentified pair of hands (they are also of a white person) snipping the tags off dresses in a changing room (the shot is very close up). The hands rub quite a bit on the scissors as they are cutting, since the person is working quite fast. They get put on the dressing room table, and you can hear the person getting up. Next, we see the video evidence. Wendy goes in the changing room with the dress and a purse... but she also comes out of the changing room with the dress, and hangs it up on a rack. The video is timestamped. Next, we hear from the witness; she describes the snipping noise (overlaid with the same video of the snipping from before), and we hear here describe who she thought came out of the booth. The witness says they do not remember when exactly they thought this happened. Finally, we hear the testimonial from the Minister, who Wendy smiles to politely. This would be the part of the show just before the final twist-creating piece of evidence comes in; as it stands, the facts do not seem to add up regarding how Wendy got the dress out, if she did in fact commit the crime.",1092.203466,,,59.86493274,,,,,80,1190.872461,1189.122391,,,,,,,,,,,,,1220.87302,1843.189599,1220.85643,2,0,2,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-03_14h16.00.758,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1220.856422,1190.872469,1873.025767,1843.189701,1189.122377,1092.173005,,,,,,,,,,
37,19,13,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"We open to see Mr. Anderson, a white man in his 30s-40s sitting in the defendant's chair. He is looking down. The judge reads the charge, and we as the audience see a vignette of the scene playing out as it happens: an undentified figure fires a rifle twice from the upstairs bedroom window of a suburban house, at night, into a backyard next door. One of the bullets hits a bottle of whiskey, which explodes to dramatic effect. Chaos ensues at the party as people yell out, look around, and run indoors. Next, we see a gruff looking man wearing a tactical vest presenting the evidence about the bullets. We see the bullet holes from the actual event, matched up against test shoots the man had taken earlier in the day. The diameters are completely different, and the velocity that the bullets seemed to have on impact was vastly different as well. We see a photo of the gruff man holding the weapon earlier that day; it is an old sporting rifle, with a rustic feel to it. Next, we hear from the witness: she was in the side yard, and could see across the street at the time of the event. We see from her perspective, a dark figure with a shiny gun barrel pointing past her, at the party. She is surprised, but doesn't have time to react before the shots go off. Next, we see a visual of the audio wave of the 911 call, and hear just a short snippet of the call. It is indeed Mr. Anderson's voice, but he sounds more panicked than he does vindicitive (in my mind, I was imagining that maybe later they'd reveal he has some medical condition related to prolonged loud noises or something). Finally, we hear from a sweet older man, the witness, saying that his neighbor is famously gentle; Mr. Anderson spends lots of his time gardening. We see Mr. Anderson once more, looking quite nervous and concerned. 
",1873.05598,,,59.86493274,,,,,33,1961.591676,1958.275023,,,,,,,,,,,,,1991.592082,2528.205794,1991.575718,3,0,3,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-03_14h16.00.758,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,1991.57571,1961.591686,2545.742021,2528.205892,1958.27501,1873.025959,,,,,,,,,,
37,6,100,clear_in,clear_in,clear_ex,clear_in,Guilty,"We open on a shot of the courtroom. We see the defendant, a haggard-looking white woman in her 20s, with her arms crossed, sitting in her chair and staring at the desk in front of her. She has a public attorney as her attorney. The judge reads out the charges, to which the defendant gives no reaction. A little vignette plays of the crime, but the identity of the person comitting the crime is unclear; though we see the figure change outfits, the figure was wearing a hat when they came in, in addition to a face mask. We hear the evidence. First, we get shown photos of the torn packaging, and an expert tells us her fingerprints match. Next, we hear from the former employer (a bitter man in his 40s, who seems to have it out for the defendant). Next, we hear from the police about the recipt, which is shown to the audience in a little plastic baggie. A short scene of the police opening her door, flashlights in hand, poking around to find it plays. Finally, we hear from the cashier, a kind-looking older woman, who says she wasn't sure the person checking out was the defendant.",2545.772544,,,59.86493274,,,,,68,2634.458204,2632.924736,,,,,,,,,,,,,2664.459292,3024.418612,2664.442215,4,0,4,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-03_14h16.00.758,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,2664.442208,2634.458214,3033.087651,3024.41871,2632.924721,2545.742221,,,,,,,,,,
37,22,32,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"We open on Ms. Garcia, a charismatic hispanic woman in her early 30s sitting at the defendant's desk. She looks like she is trying her best to keep her composure. The judge reads out the charge, and we get a short scene showing the alarm go off for the baby not being there, waking the mother and causing her to start crying. First, we get the testimonial from a community leader; the leader is the comittee chair of the schoolboard at the district Ms. Garcia teaches at; she started there 4 years ago. Next, we hear from the digital evidence expert, and are shown the video of a woman looking a lot like Ms. Garcia (even down to the hair) carrying a baby out of the hospital. We hear from a DNA expert that there was evidence Ms. Garcia was in the hospital, and then a testimony from a nurse that she thought she saw Ms. Garcia visiting an older woman at the time of the incident; she said she seemed to have been visiting a relative.
",3033.11793,,,59.86493274,,,,,68,3104.753026,3101.103204,,,,,,,,,,,,,3134.753569,3450.878617,3134.737339,5,0,5,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-03_14h16.00.758,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,3134.737331,3104.753037,3477.214485,3450.878719,3101.103192,3033.087848,,,,,,,,,,
37,20,78,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"We open on a shot of Astrid, a woman in her 30s with long blonde hair, sitting quietly at the defendant's desk. The judge reads out the charge; we see a little scene play of a hand bagging something without tagging it as the judge reads aloud. First, we have the testimony of the man from the church; he says Astrid is a very respectable member of the community. She volunteers often when the church gives out soup. Next, we hear testimony from the customer who thinks she didn't see Astrid ring up all the items; however, the witness admits that it was quite busy that day, and they were also occupied with paying and getting the bags into the cart, so its possible they missed something. We next see the video evidence, a montage of Astrid ringing items up before putting them into bags.",3477.245551,,,59.86493274,,,,,11,3556.230934,3555.197936,,,,,,,,,,,,,3586.231528,3780.736624,3586.214936,6,0,6,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-03_14h16.00.758,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,3586.214925,3556.230943,3791.722836,3780.736719,3555.197923,3477.214701,,,,,,,,,
37,18,90,clear_in,clear_ex,clear_in,clear_in,Guilty,"We open on Darrell, who is in an ill-fitting suit. He is a bald white man in his 40s. The judge reads out the charges, and we see a montage of Darrell going down to the border with a few companions, talking to some workers there (there is a large language barrier), and convincing them that he can help them get visas and good paying jobs in the US. He is wearing dark sunglasses as he says this, and chewing gum. He has a big grin on his face after they all agree, and he waves them into the car as if they were going on a trip together. However, we then see a scene of the same Darrell opening the van doors to a factory complex, and unloading them there. We see him brandish a pistol at his side, and yell at the workers quite aggressively (though we cannot hear what he's saying). Next, we hear the evidence; this is not Darrell's first time in the courtroom, as he was previously convicted of forgery of documents. We see a mugshot of Darrell from that case. Next, we see that Darrell's emails and messages are squeaky clean; not even a message to his girlfriend is present. We then see a woman handing him a wad of cash at the border. Finally, we see the scene with the state trooper at the rest stop; the camera zooms in on the soda can, grimy fingerprints across it.",3791.75323,,,59.86493274,,,,,100,3843.137828,3842.237921,,,,,,,,,,,,,3873.138696,4189.196835,3873.121824,7,0,7,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-03_14h16.00.758,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,3873.121816,3843.137837,4193.132115,4189.196911,3842.237909,3791.723038,,,,,,,,,,
37,24,50,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"Study has ran long, so I will be clicking through the rest of the trials. I apologize.",4193.163062,,,59.86493274,,,,,50,4266.548374,4265.415139,,,,,,,,,,,,,4296.548875,4318.083328,4296.532554,8,0,8,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-03_14h16.00.758,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,4296.532544,4266.548383,4322.068616,4318.083413,4265.415126,4193.132307,,,,,,,,,,
37,28,49,clear_ex,clear_in,clear_in,clear_in,Not Guilty,"Study has ran long, so I will be clicking through the rest of the trials. I apologize.",4322.099696,,,59.86493274,,,,,48,4328.599501,4323.899461,,,,,,,,,,,,,4358.600335,4372.484499,4358.583581,9,0,9,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-03 15h00.16.346758 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-03_14h16.00.758,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,4358.583573,4328.59951,4375.970173,4372.484578,4323.89945,4322.068807,,,,,,,,,,
