participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,
467028,20,3,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"I was looking through the cctv footage of her putting thinks in the bag and using the screen to charge them and then that the whitness behind could have looked somewhere else or didnt see everything so she could think shes cheating
.",122.0851991,,,119.9856497,,,1,,2,190.2865422,180.9697856,,,,,,,,,,,,,220.2912509,298.8932733,220.2787671,0,0,0,5,,,,,,,,,,,,,,,C,0.0422316,0.0405916,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-03-09_09h33.39.534,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,2.0938413,2.0938463,TRUE,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,0.0845994,0.0845369,220.2787602,190.2865503,327.6662085,298.8933977,180.9697731,122.0566317,122.0517335,106.7932186,106.7932107,102.4864993,102.4694489,100.3753626
467028,2,21,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"I saw her walk into the store shes definitly more distinguised, she looks around the store for a second and then picks a dress she likes and takes it into the backroom with her purse, the atendent can hear sissors being used and she can only assume which stall it is coming from then when she walks out the atendent is sure she cut the tags but she was seen putting the dress back and leaving.",327.7014857,,,119.9856497,,,,,13,381.9653183,377.4370592,,,,,,,,,,,,,411.9699603,555.611239,411.9618889,1,0,1,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-09_09h33.39.534,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,411.961878,381.9653261,564.5201984,555.6113242,377.4370478,327.6664807,,,,,,,
467028,28,100,clear_ex,clear_in,clear_in,clear_in,Guilty,"I can see him going and getting ther gas and the fire starters and then going to the building and not do a check of the building to make sure nobodys inside, and then burned down the building leaving his receits to eaily be found on his coffee table",564.5384896,,,119.9856497,,,,,81,616.4870144,613.4242656,,,,,,,,,,,,,646.4914751,718.9379408,646.483405,2,0,2,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Don,2026-03-09_09h33.39.534,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,646.4833972,616.4870228,742.9785315,718.9380117,613.4242551,564.5203853,,,,,,,
467028,18,75,clear_in,clear_ex,clear_in,clear_in,Guilty,"I saw him on the highway giving cash to the driver and the lady driving past doing a double check just to make sure it was him and then later hes driving a van and throws a can on the side of the rode with the police officer and it was taken in and taken for a swab test becasue this van that was stopped had been in many diffrent trafficing warnnings, and before all of this he had a felony in fraud.",743.0051847,,,119.9856497,,,,,88,816.2577074,792.657007,,,,,,,,,,,,,846.2630331,989.5195909,846.2542019,3,0,3,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-09_09h33.39.534,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,846.2541944,816.2577172,1001.459498,989.5196617,792.6569965,742.9787334,,,,,,,
467028,30,100,clear_in,clear_ex,ambiguous,clear_in,Guilty,I see him having anger issues already getting road raged by the traffic or somthing blocking the road and him being late for somthing already or having a bad day already and then ussing the sidewalk as a passing lane driving crazy.,1001.482124,,,119.9856497,,,,,100,1046.383535,1033.504002,,,,,,,,,,,,,1076.388152,1166.286389,1076.379745,4,0,4,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-09_09h33.39.534,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,1076.379738,1046.383547,1171.44101,1166.286478,1033.503985,1001.459686,,,,,,,
467028,22,49,ambiguous,clear_in,clear_ex,clear_ex,Guilty,I cna see the nurse maybe wanting a baby or somthing and one day she just cant stop looking at this one baby so she desides to take it withou thinking so the securty spots her and other nurses and once the mother noticed nobody coming back with her baby she amediatly called the police.,1171.463552,,,119.9856497,,,,,100,1193.911188,1193.082148,,,,,,,,,,,,,1223.912478,1312.395916,1223.903392,5,0,5,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-09_09h33.39.534,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1223.903384,1193.911196,1318.623281,1312.395983,1193.082133,1171.441217,,,,,,,
467028,19,37,clear_ex,clear_in,clear_ex,clear_ex,Guilty,Some people wanted to throw a party and its going well but now its 11-12PM and the grandpa from across the street is getting really annoyed about all the noise so he calls the police and tells them they need to shut down the party 30 minuets later the cops dont show up so he desides he has to do somthing about it himself so he shoots a beer can on the fence to scare them.,1318.64163,,,119.9856497,,,,,54,1353.680917,1351.877141,,,,,,,,,,,,,1383.685913,1519.269435,1383.677674,6,0,6,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,???,2026-03-09_09h33.39.534,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,1383.677666,1353.680925,1533.96194,1519.269529,1351.87713,1318.623474,,,,,,,
467028,6,64,clear_in,clear_in,clear_ex,clear_in,Guilty,"She went into the bathroom with a jacket and beenie and then when she came out she was wearing them and then went to grab penut butter and rasins and checked out and left the bathroom a mess of packaging and the receit only showed penutbutter and rasins not the coat and beenie
",1533.984381,,,119.9856497,,,,,52,1576.819643,1574.448557,,,,,,,,,,,,,1606.819455,1701.192601,1606.811344,7,0,7,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-09_09h33.39.534,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1606.811337,1576.81965,1705.535244,1701.192684,1574.448543,1533.962145,,,,,,,
467028,14,64,clear_ex,ambiguous,clear_in,clear_in,Not Guilty,"Mr Jackson sold his boat maybe because he wasent using it and got 43,000 and has a charge for tax fraud and was seen giving an envelope to someone but the fingerprints match someone elses so maybe he was giving the 43,000 dollors to someone so they can clean it without paying taxes",1705.557789,,,119.9856497,,,,,6,1763.743838,1763.135261,,,,,,,,,,,,,1793.744195,1928.363247,1793.736031,8,0,8,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,????,2026-03-09_09h33.39.534,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1793.736024,1763.743846,1935.023414,1928.363327,1763.13525,1705.535433,,,,,,,
467028,24,65,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,She went to go grab some mail for her buissness and got acidently grabbed someone elses mail and noticed and put it back with their pile and then I went on with my noraml day of work at two buissnesses,1935.04596,,,119.9856497,,,,,19,2010.353076,2009.324337,,,,,,,,,,,,,2040.357712,2105.125762,2040.349405,9,0,9,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-09 09h53.06.410780 -0600,JurorPsychopyTest,,,,,,,,,Pate,2026-03-09_09h33.39.534,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,2040.349391,2010.353086,2116.956996,2105.125836,2009.324326,1935.023611,,,,,,,
