source_file,setUpRoutine.started,setUpRoutine.stopped,participant,condition,date,expName,psychopyVersion,OS,frameRate,appendEvidence.started,appendEvidence.stopped,Introduction1.started,Introduction1.stopped,infiniteLoop.thisRepN,infiniteLoop.thisTrialN,infiniteLoop.thisN,infiniteLoop.thisIndex,infiniteLoop.ran,evidenceCategory,Scenerio.started,Scenerio.stopped,physical,document,witness,character,continueScenerioButton.keys,continueScenerioButton.rt,continueScenerioButton.duration,Instructions.started,Instructions.stopped,instructionContinue.keys,instructionContinue.rt,instructionContinue.duration,waitThirty.started,waitThirty.stopped,waitThirtyContinueButton.numClicks,waitThirtyContinueButton.timesOn,waitThirtyContinueButton.timesOff,userResponse.started,userResponse.stopped,responseTextBox.text,userResponseContinue.numClicks,userResponseContinue.timesOn,userResponseContinue.timesOff,Survey.started,Survey.stopped,rating.response,recall.response,know.response,realrate.response,verdict.response,surveyNext.numClicks,surveyNext.timesOn,surveyNext.timesOff,knowledgeChecked,knowledgeCheck.started,knowledgeCheck.stopped,knowledgeCheckSuccess,knowledgeCheckResponseSlider.response,knowledgeCheckNext.numClicks,knowledgeCheckNext.timesOn,knowledgeCheckNext.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rank,severity,crime,crimeType,crimeDescription,baseScenerio,physicalInc,physicalExc,physicalAmb,documentInc,documentExc,documentAmb,witnessInc,witnessExc,witnessAmb,characterInc,characterExc,characterVirtue,draftedBy,recallKnowledgeCheck.started,recallKnowledgeCheck.stopped,recallResponseTextBox.text,recallResponseContinue.numClicks,recallResponseContinue.timesOn,recallResponseContinue.timesOff,filename,file_timestamp,participant_unique
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,3e-4,5e-4,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,0.019,0.019,111.4128,160.9605,4,0,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,credible,160.9947,174.2903,clear_in,clear_in,clear_in,none,right,13.2904,NA,174.2961,195.6675,right,21.3594,NA,195.6692,237.9723,1,[12.313100000023837],[12.313100000023837],237.9726,452.5886,"Michael Anderson is charged with shooting out of his window late at night into a crowed loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass",1,[452.63639999997616],[452.63639999997616],452.5898,485.6544,76,76,50,59,Guilty,1,[2.28189999997619],[2.28189999997619],Evidence,485.6576,620.1343,True,2,1,[5.165299999952367],[5.165299999952367],0,0,0,4,1,19,E,Discharge weapon into occupied property,"Assault, kidnapping",Firing a gun into a party and injuring two people.,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass.",Markings on bullets recovered from the neighbor’s yard match bullets test-fired from Mr. Anderson’s gun.,Markings on bullets in the neighbor’s yard do not match bullets test-fired from Mr. Anderson’s only gun.,"Markings on bullets later found in in the neighbor’s yard are the same caliber as a gun owned by Mr. Anderson, but the bullets were too damaged for a definite match.","911 recorded a caller from Mr. Anderson’s phone telling the operator, “If you don’t do something about the party, I will.”","911 recorded a caller from a different neighbor’s phone telling the operator, “If you don’t do something about the party, I will.”","911 recorded a call from a phone with no caller ID, telling the operator, “If you don’t do something about his party, I will.”",A woman at the party says she saw someone she later identified as Mr. Anderson shooting from a window in his house.,A woman at the party says she saw someone with a gun at an open window in a house across the street from Mr. Anderson’s house.,An eyewitness says she could not tell whether the shots came from Mr. Anderson’s house or the house across the street.,A neighbor testified that Mr. Anderson has a reputation for being violent.,A neighbor testified that Mr. Anderson has a reputation for non-violence.,Propensity,???,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambiguous,620.1424,676.5016,clear_ex,ambiguous,ambiguous,none,right,56.3474,NA,676.502,704.8768,right,28.3732,NA,704.8812,751.9474,1,[17.078499999999963],[17.078499999999963],751.9505,922.6422,Darrell Johnson is charged with human trafficking and the victims are forced to work 16 hourse a day for little or no pay by threatening violence to the victims and their families back in Mexico,1,[922.6898000000715],[922.6898000000715],922.6451,933.5809,83,69,76,74,Guilty,1,[1.06639999997617],[1.06639999997617],False,933.5857,933.5882,None,NA,0,[],[],0,1,1,3,1,18,F,Human Trafficking,"Assault,kidnapping",Human trafficking.,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico.",DNA matching Mr. Johnson’s was found on a soda can dropped in a rest stop from a van carrying immigrants that drove off as a state trooper pulled up next to it.,"DNA and fingerprints in the van that carried the victims to the traffickers match the victims, but none, including those on the steering wheel, match Mr. Johnston.",Partly degraded DNA from a soda can dropped when state troopers approached a van carrying immigrants might possibly match Mr. Johnson’s DNA.,"Mr. Johnson’s cell phone contains a text to a phone number in Mexico, reading: “Need new fish. $$$ for quick turnaround. Usual drop.”","Neither Mr. Johnson’s cell phone nor computer shows voice calls, texts, or emails to Mexico.",Mr. Johnson’s cell phone shows frequent texts and voice calls to Mexico over the last 5 years.,A woman testified that Mr. Johnson is the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,A woman testified Mr. Johnson is not the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,A woman testified that she’s not sure whether Mr. Johnson is the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,Mr. Johnson was previously convicted of forgery for selling false identification documents.,A local social-services agencyworker testified that Mr. Johnson has a reputation for truthfulness.,Truthfulness,Pate,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambiguous,933.5904,951.9254,none,ambiguous,ambiguous,clear_in,right,18.3242,NA,951.9254,958.7238,right,6.7974,NA,958.7288,998.0299,1,[9.313899999976229],[9.313899999976229],998.0327,1158.9887,"Mohammed Frooqi is charged with first degree murder. The prosecution alleges he was hired to burn a building and a man was made homeless out of that, a homeless man sleeping in the building was killed in the fire",1,[1159.0346000000238],[1159.034899999976],1158.9916,1166.7498,72,82,71,75,Guilty,1,[2.0987999999522344],[2.0988999999760836],Scenerio,1166.755,1177.7304,True,2,1,[0.949800000071491],[0.949800000071491],0,2,2,8,1,28,A,Felony Murder,Homicide,Killing someone by burning down a building.,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire.",An expert said that two fingerprints on the burned building’s rear door match Mr. Farooqui’s.,An expert testified that no fingerprints at the scene matched Mr. Farooqui’s.,"An expert said that a partial fingerprint on the building’s rear door might be Mr. Farooqui’s, but there were not enough similarities to be sure.",A receipt was found in Mr. Farooqui’s home for a five-gallon gas can of the same kind found in the fire’s debris.,"Two receipts for drinks from a bar on the night of the fire were found in Mr. Farooqui's apartment. One was from before the fire was set, and the other from after the fire was set.","A receipt was found in Mr. Farooqui’s home for five gallons of gas, but there’s no date on the receipt.",An eyewitness said that she saw someone she later identified as Mr. Farooqui carrying a gas can near the building shortly before the fire.,An eyewitness said he saw Mr. Farooqui in a bar from before until after the time the fire was set.,"An eyewitness saw someone who might have been Mr. Farooqui with a gas can near the building just before the fire, but cannot be sure it was Mr. Farooqui.",Mr. Farooqui's former employer testified that in his opinion Mr. Farooqui was not a law-abiding person.,Mr. Farooqui’s long-time employer testified to his excellent character for being law-abiding.,Propensity,Don,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambiguous,1177.7346,1187.8946,clear_ex,ambiguous,ambiguous,none,right,10.1556,NA,1187.8948,1190.0105,right,2.1049,NA,1190.0151,1221.8851,1,[1.88279999995234],[1.88279999995234],1221.8885,1398.2378,Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors alleges she told homeowners that a new law would save them money by refinancing their mortgage through her company ,1,[1398.2852000000476],[1398.2852000000476],1398.2425,1420.9208,75,70,78,74,Guilty,1,[5.322499999999991],[5.322499999999991],Evidence,1420.9261,1487.5123,True,0,1,[5.34759999990456],[5.34759999990456],0,3,3,7,1,24,C,False Pretenses $100K+,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments.",Ms. Franklin’s fingerprint was found on a collection notice from the fake company.,An expert testified that fingerprints on collection notices from the fake company are not Ms. Franklin’s.,"The FBI data bank identified ten people, including Ms. Franklin, with prints that could match those on the fake company’s collection notices and letterhead mailed to the victims.","Ms. Franklin’s computer contained spreadsheets with names, mortgage policy numbers, and payment records of 20 of the defrauded homeowners.","Ms. Franklin’s computer contained meticulous records for two legitimate businesses she owns, plus her personal budget and tax records, but nothing connected to the fake company.","Ms. Franklin’s laptop shows a Google search for records of foreclosure notices, along with her bank statements showing donations of $100 every month to homeless shelters.","A print-shop employee identified Ms. Franklin from a lineup as the person who picked up business cards with the fake company’s logo, name, and address.","An insurance agent in the same building as the fake company saw several people in the fake company’s office, but never Ms. Franklin.",An insurance agent in the same building as the fake company saw someone who “might or might not” have been Ms. Franklin going into the fake company.,Ms. Franklin's former roommate says in her opinion Ms. Franklin is not an honest person.,Ms. Franklin's employer says in his opinion Ms. Franklin is an honest person.,Propensity,Pate,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,credible,1487.518,1499.0751,ambiguous,clear_in,clear_in,none,right,11.5549,NA,1499.0753,1503.4075,right,4.3224,NA,1503.4115,1535.4821,1,[2.0826999999285363],[2.0826999999285363],1535.486,1726.9047,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourist. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they can ",1,[1726.9523000000713],[1726.9523000000713],1726.9072,1736.1273,79,66,79,75,Guilty,1,[0.7835000000000036],[0.7835000000000036],False,1736.1325,1736.1357,None,NA,0,[],[],0,4,4,9,1,30,A,Murder 1st - 4 counts,Homicide,Driving an SUV into a crowd and killing four people.,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",An expert testified that a palm print from the driver’s door matches Mr. Juval.,An expert testified that none of the fingerprints in the SUV match Mr. Juval.,An expert testified there are not enough similarities between Mr. Juval’s palm print and a palm print on the SUV’s door for a conclusive match.,"An expert testified that Mr. Juval’s computer had a map of the mall with a note, “No place to hide.”",Selfies on Mr. Juval’s phone show he was at a wine bar two miles away when the SUV drove onto the walkway.,Mr. Juval’s computer contains a map of the walkway with shopping hours and driving directions to the entrance.,A tourist who was knocked over by the fleeing driver identified Mr. Juval in a police lineup.,A tourist who was knocked over by the fleeing driver says it was not Mr. Juval.,A tourist who was knocked over by the fleeing driver said maybe it was Mr. Juval but it could have been someone else.,Mr. Juval was convicted five years ago for threatening workers at a construction site in his neighborhood.,A shopkeeper in Mr. Juval’s neighborhood testified that Mr. Juval has a good reputation for telling the truth.,Truthfulness,Pate,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,credible,1736.1387,1744.2588,clear_in,clear_in,none,clear_ex,right,8.1161,NA,1744.259,1748.2734,right,4.0046,NA,1748.2771,1779.8817,1,[1.6159000000952801],[1.6159000000952801],1779.8849,1926.8837,"Astrid Clarke, a large department store employee, is charged with embezzlement of money from her employer by freebagging items without charging for them and getting paid",1,[1926.9317000000476],[1926.9317000000476],1926.8858,1934.5058,76,69,75,71,Guilty,1,[2.082600000023831],[2.082600000023831],False,1934.507,1934.5103,None,NA,0,[],[],0,5,5,5,1,20,C,Embezzlement,Burglary & theft,Stealing from their workplace by taking items without charging for them.,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by ""freebagging,"" bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.",An fingerprint expert testified that Ms. Clarke’s fingerprints were among those found on the the recovered items,"An expert testified that of the many fingerprints on the recovered items, none were Ms. Clarke’s.","A fingerprint expert testified that of the many fingerprints on the recovered items, only one partial print could be Ms. Clarke's but it was too smudged to provide a certain match.",A store security camera video shows Ms. Clarke repeatedly bagging items for the same two customers so quickly that ringing them up would have been difficult.,A store security camera video shows no obvious evidence of Ms. Clarke bagging any items without first hitting keys on the register.,A store security camera shows an employee who cannot be identified from the video freebagging items on a register on the floor where Ms. Clarke worked.,A store customer remembers Ms. Clarke putting items in a bag for the customer before her and thinks that not all the items were rung up.,A store customer remembers a store employee other than Ms. Clarke putting items in a bag for a customer without ringing them up.,A store customer remembers a store employee putting items in a bag for a customer without ringing them up but cannot be sure whether the employee was Ms. Clarke.,Ms. Clarke’s neighbor says she has a poor reputation for honesty in the neighborhood.,Ms. Clarke’s priest says she has an excellent reputation for honesty among the church community.,Propensity,Don,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,credible,1934.5121,1951.018,clear_in,clear_in,none,clear_in,right,16.4993,NA,1951.0182,1979.96,right,28.9314,NA,1979.9648,2024.7142,1,[14.762499999999818],[14.762499999999818],2024.7151,2230.8656,"Wendy Armstrong had been charged with concealing merchandise in a fancy department store. Prosecutors claims that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth 1,200 in a side compartment",1,[2230.9133999999763],[2230.9133999999763],2230.8678,2243.9541,77,66,71,65,Guilty,1,[4.58199999999988],[4.58199999999988],Evidence,2243.961,2275.2118,True,2,1,[20.302100000023984],[20.302100000023984],0,6,6,0,1,2,M3,Concealment of Merchandise,Shoplifting,Removing price tags from and hiding an item of clothing.,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store.",An investigator testified Mrs. Armstrong’s fingerprints were on a pair of scissors left in a fitting room alongside cut-off theft prevention tags from the dress.,An investigator testified that fingerprints found on scissors left in a fitting room alongside cut-off theft prevention tags from the dress were not Mrs. Armstrong’s.,An investigator testified that smudged fingerprints found on scissors left in a fitting room alongside cut-off theft prevention tags cannot be said to either match or exclude Mrs. Armstrong.,A video from the department shows Mrs. Armstrong going into the fitting room with the dress and coming out without it.,A video from the department store shows Mrs. Armstrong going into the fitting room with the dress and later leaving and hanging it back on a rack.,"A video from the department store shows Mrs. Armstrong walking into the fitting room with several dresses and coming out with fewer dresses, but the dress she is accused of concealing is not visible in the video.","A store clerk in women's dresses says she heard the sound of scissors from a dressing room, and identified Mrs. Armstrong as the woman who came out of that dressing room.","A store clerk in women's dresses says she heard the sound of scissors from a dressing room, and that Mrs. Armstrong was not the woman who came out of that dressing room.","A store clerk in women's dresses says she heard the sound of scissors from a dressing room, but could not say for sure whether Mrs. Armstrong was the woman who came out of the dressing room.",Mrs. Armstrong's former employer testifies she had a poor reputation for truthfulness in her workplace.,Mrs. Armstrong's minister testifies she has an excellent reputation for truthfulness among her fellow parishioners.,Truthfulness,Artemis,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
/Users/rogershome/Downloads/juror_data_full/Batch 1/Experiment Files/1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,NA,NA,1081,recall,2025-10-28_22h01.30.899,JurorPsychopyTest,2025.1.1,Win32,59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambiguous,2275.2176,2285.227,clear_ex,ambiguous,ambiguous,clear_in,right,9.9978,NA,2285.2274,2286.909,right,1.6719,NA,2286.9137,2325.1982,1,[8.297500000000127],[8.297500000000127],2325.2019,2465.3298,Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutor say she removed the price tags and packaging in a changing room,1,[2465.3755],[2465.3755],2465.332,2472.3582,51,64,59,55,Not Guilty,1,[1.2325000000000728],[1.2325000000000728],False,2472.3616,2472.3657,None,NA,0,[],[],0,7,7,1,1,6,M1,Larceny misdemeanor,Burglary & theft,Shoplifting clothing.,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",Torn packaging left in the changing room carries Mrs. Mitchell’s fingerprints.,Mrs. Mitchell’s fingerprints do not match those inside the torn packaging from in the changing room,"Mrs. Mitchell’s fingerprints have some similarities to prints in the torn packaging from changing room, but not enough to be sure of a match.","In Mrs. Mitchell’s apartment, police found a Target receipt, time-stamped around the time of the theft, for peanut butter, chocolate milk, and raisin bread.",A gas receipt shows Mrs. Mitchell’s credit card was used 20 miles from the Target 10 minutes before the theft.,A credit card receipt shows that Mrs. Mitchell used her credit card to purchase several items at a convenience store 25 miles away from the Target on the day the theft occurred.,"A cashier testified that Mrs. Mitchell is the person who bought peanut butter, chocolate milk, and raisin bread while wearing the kind of jacket and cap that were taken.","A cashier testified that Mrs. Mitchell is not the woman who bought peanut butter, chocolate milk, and raisin bread.","A cashier testified that Mrs. Mitchell “might be” the woman buying peanut butter, chocolate milk, and raisin bread.","Mrs. Mitchell's former employer says that in his opinion, she was prone to theft.",Mrs. Mitchell testified that she is not the kind of person who would ever steal anything from anyone.,Propensity,Pate,NA,NA,NA,NA,NA,NA,1081_Legal_Decision_Making_Study_2025-10-28_22h00.42.607.csv,2025-10-28_22h00.42.607,1081_2025-10-28_22h00.42.607
